seed,nodes,E_total_sum(J),E_total_avg_per_node(J),P_avg_per_node(mW),RDC_avg(%)
10,15.0,17.792423,1.186162,0.353,3.67
11,15.0,18.16731,1.211154,0.361,3.69
12,15.0,18.981208,1.265414,0.377,3.73
13,15.0,18.445736,1.229716,0.366,3.7
14,15.0,18.452095,1.23014,0.366,3.7
15,15.0,18.920647,1.261376,0.376,3.72
16,15.0,18.373435,1.224896,0.365,3.7
17,15.0,18.383917,1.225594,0.365,3.7
18,15.0,18.710647,1.247376,0.371,3.73
19,15.0,18.314739,1.220983,0.364,3.69
1,15.0,18.368711,1.224581,0.364,3.7
20,15.0,18.462856,1.230857,0.366,3.7
2,15.0,19.027093,1.268473,0.378,3.73
3,15.0,18.48963,1.232642,0.367,3.71
4,15.0,18.100954,1.20673,0.359,3.69
5,15.0,18.931802,1.26212,0.376,3.73
6,15.0,17.964163,1.197611,0.356,3.68
7,15.0,17.895565,1.193038,0.355,3.68
8,15.0,18.491283,1.232752,0.367,3.7
9,15.0,18.990443,1.26603,0.377,3.73
AVG,15.0,18.463232849999997,1.23088225,0.36644999999999994,3.7040000000000006
