seed,prr_parent(last)_avg,prr_sender(last)_avg,prr_all_nei_avg_avg,PDR_UL(%)_avg,PDR_UL_attempts(%)_avg,PDR_UL_sent(%)_avg,PDR_UL_per_node_avg(%),UL_Route_Coverage(%),UL_Coverage(%),PDR_DL(%)_avg,PDR_DL_attempts(%)_avg,PDR_DL_sent(%)_avg,PDR_DL_per_node_avg(%),DL_Route_Coverage(%),DL_Coverage(%),UL_delay_ticks_avg,UL_delay_ms_avg,UL_delay_per_node_avg(ms),DL_delay_ticks_avg,DL_delay_ms_avg,DL_delay_per_node_avg(ms)
10,98.57,83.93,91.95,99.52,99.52,99.52,99.52,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.17,196.61,196.61,34.12,266.56,266.56
11,99.07,85.14,93.71,99.64,99.64,99.64,99.64,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,54.9,428.86,428.86,8.68,67.78,67.78
12,98.14,82.93,92.63,99.7,99.7,99.7,99.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,37.22,290.77,290.77,28.92,225.91,225.91
13,99.21,91.29,92.98,99.52,99.52,99.52,99.52,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,45.54,355.78,355.78,18.26,142.65,142.65
14,98.64,88.36,93.12,99.76,99.76,99.76,99.76,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10.03,78.38,78.38,66.22,517.35,517.35
15,98.0,83.36,92.01,99.52,99.52,99.52,99.52,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,21.55,168.33,168.33,40.66,317.63,317.63
16,98.07,87.0,92.32,99.16,99.16,99.16,99.16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,15.63,122.08,122.08,55.7,435.12,435.12
17,95.93,85.5,92.7,99.46,99.46,99.46,99.46,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,26.53,207.28,207.28,42.66,333.3,333.3
18,98.43,84.64,91.82,99.34,99.34,99.34,99.34,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,75.61,590.73,590.73,11.15,87.13,87.13
19,97.57,81.64,91.64,99.76,99.76,99.76,99.76,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,84.39,659.33,659.33,3.26,25.47,25.47
1,96.64,81.21,92.27,99.76,99.76,99.76,99.76,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,36.09,281.93,281.93,30.53,238.54,238.54
20,98.64,88.07,92.11,99.34,99.34,99.34,99.34,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.37,627.85,627.85,7.29,56.92,56.92
2,98.5,87.07,92.77,99.52,99.52,99.52,99.52,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.59,668.65,668.65,4.51,35.19,35.19
3,99.29,81.14,92.98,99.1,99.1,99.1,99.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2.38,18.61,18.61,92.25,720.69,720.69
4,98.43,84.36,91.91,99.52,99.52,99.52,99.52,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,7.26,56.73,56.73,73.88,577.22,577.22
5,97.5,85.0,91.99,99.52,99.52,99.52,99.52,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,8.68,67.84,67.84,63.28,494.36,494.36
6,97.36,87.64,92.67,99.4,99.4,99.4,99.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,49.74,388.62,388.62,26.76,209.08,209.08
7,98.93,83.71,92.34,99.4,99.4,99.4,99.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.95,671.49,671.49,4.68,36.53,36.53
8,97.79,85.86,92.57,99.28,99.28,99.28,99.28,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,63.58,496.69,496.69,8.1,63.32,63.32
9,99.0,82.57,93.06,99.4,99.4,99.4,99.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.04,742.51,742.51,2.81,21.99,21.99
AVG,98.1855,85.02099999999999,92.47749999999999,99.48100000000001,99.48100000000001,99.48100000000001,99.48100000000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,45.5625,355.95349999999996,355.95349999999996,31.18599999999999,243.63699999999994,243.63699999999994
