node,prr_parent(last),prr_sender(last),prr_all_nei_avg,ul_sent,ul_recv,ul_attempts,ul_sent_count,PDR_UL(%),PDR_UL_attempts(%),PDR_UL_sent(%),ul_received,dl_sent,dl_recv,dl_attempts,dl_sent_count,PDR_DL(%),PDR_DL_attempts(%),PDR_DL_sent(%),PDR_DL_CSV_last(%),dl_received,UL_delay_samples,UL_delay_ticks_avg,UL_delay_ms_avg,DL_delay_samples,DL_delay_ticks_avg,DL_delay_ms_avg
01:00,,,75.92,0,0,0,0,,,,0,0,0,0,0,,,,,0,0,,,0,,
02:00,99.0,87.0,90.23,119,119,119,119,100.0,100.0,100.0,1,6,6,6,6,100.0,100.0,100.0,100.0,1,119,30.96,241.86,6,25.33,197.92
03:00,99.0,98.0,98.99,119,118,119,119,99.16,99.16,99.16,1,6,6,6,6,100.0,100.0,100.0,100.0,1,118,101.82,795.48,6,0.0,0.0
04:00,100.0,92.0,97.2,119,119,119,119,100.0,100.0,100.0,1,6,6,6,6,100.0,100.0,100.0,100.0,1,119,18.18,142.07,6,24.67,192.71
05:00,100.0,100.0,85.01,119,119,119,119,100.0,100.0,100.0,1,6,6,6,6,100.0,100.0,100.0,100.0,1,119,17.06,133.27,6,35.83,279.95
06:00,99.0,68.0,94.95,119,119,119,119,100.0,100.0,100.0,1,6,6,6,6,100.0,100.0,100.0,100.0,1,119,40.21,314.14,6,0.0,0.0
07:00,99.0,86.0,88.8,119,117,119,119,98.32,98.32,98.32,1,5,5,5,5,100.0,100.0,100.0,100.0,1,117,40.65,317.57,5,14.2,110.94
08:00,99.0,99.0,99.34,119,118,119,119,99.16,99.16,99.16,1,5,5,5,5,100.0,100.0,100.0,100.0,1,118,19.09,149.17,5,32.4,253.12
09:00,99.0,80.0,89.02,119,119,119,119,100.0,100.0,100.0,1,5,5,5,5,100.0,100.0,100.0,100.0,1,119,5.49,42.87,5,47.8,373.44
10:00,100.0,98.0,94.62,119,119,119,119,100.0,100.0,100.0,1,5,5,5,5,100.0,100.0,100.0,100.0,1,119,49.66,388.0,5,0.0,0.0
11:00,100.0,79.0,83.63,119,119,119,119,100.0,100.0,100.0,1,5,5,5,5,100.0,100.0,100.0,100.0,1,119,95.18,743.57,5,0.0,0.0
12:00,99.0,95.0,94.58,119,118,119,119,99.16,99.16,99.16,1,5,5,5,5,100.0,100.0,100.0,100.0,1,118,116.97,913.86,5,0.0,0.0
13:00,100.0,100.0,98.87,119,119,119,119,100.0,100.0,100.0,1,5,5,5,5,100.0,100.0,100.0,100.0,1,119,51.5,402.38,5,15.2,118.75
14:00,97.0,97.0,87.49,119,118,119,119,99.16,99.16,99.16,1,5,5,5,5,100.0,100.0,100.0,100.0,1,118,12.47,97.39,5,40.6,317.19
15:00,99.0,99.0,99.01,119,117,119,119,98.32,98.32,98.32,1,5,5,5,5,100.0,100.0,100.0,100.0,1,117,38.31,299.28,5,19.6,153.12
