seed,prr_parent(last)_avg,prr_sender(last)_avg,prr_all_nei_avg_avg,PDR_UL(%)_avg,PDR_DL(%)_avg
10,8.7,99.88,67.6,99.88,100.0,16.04,125.3,27.88,217.84
11,8.68,99.76,67.48,99.76,100.0,37.98,296.75,6.06,47.32
12,8.7,99.64,67.57,99.64,100.0,24.68,192.82,22.03,172.13
13,8.7,99.94,67.58,99.94,100.0,29.17,227.91,10.39,81.19
14,8.74,99.64,67.51,99.64,98.57,5.13,40.1,56.58,442.04
15,8.7,99.82,67.68,99.82,100.0,10.62,82.97,31.44,245.65
16,8.7,99.88,67.62,99.88,100.0,6.49,50.7,38.35,299.61
17,8.7,99.58,67.43,99.58,100.0,17.29,135.03,33.84,264.42
18,8.68,99.94,67.64,99.94,100.0,59.48,464.68,6.16,48.1
19,8.74,99.88,68.05,99.88,98.57,65.73,513.51,0.96,7.48
1,8.68,99.88,67.63,99.88,100.0,24.51,191.48,20.46,159.86
20,8.7,99.64,67.43,99.64,100.0,61.96,484.09,2.74,21.41
2,8.68,99.58,67.5,99.58,100.0,66.96,523.16,1.91,14.9
3,8.7,99.58,67.43,99.58,100.0,0.09,0.67,82.13,641.63
4,8.7,99.82,67.34,99.82,100.0,2.47,19.31,63.78,498.27
5,8.7,99.88,67.62,99.88,100.0,3.89,30.39,55.03,429.95
6,8.7,99.64,67.4,99.64,100.0,35.36,276.28,10.7,83.59
7,8.7,99.7,67.37,99.7,100.0,67.6,528.15,1.11,8.67
8,8.7,99.88,67.55,99.88,100.0,46.38,362.36,5.76,44.96
9,8.68,99.58,67.37,99.58,100.0,76.83,600.26,1.07,8.37
