mote,monitored_us,on_us,tx_us,rx_us,int_us,idle_us,E_tx(J),E_rx(J),E_idle(J),E_total(J),P_avg(mW),RDC(%)
Sky_1,3359651458.7,123096349.55,3430797.15,11261448.15,6400144.7,102003959.55,0.18,1.0,0.13,1.31,0.39,3.66
Sky_10,3359646018.75,110865227.25,7575120.85,3679880.7,2033894.15,97576331.55,0.4,0.32,0.12,0.84,0.25,3.3
Sky_11,3359651477.95,117419234.95,8439880.75,6413782.85,3760592.05,98804979.3,0.44,0.57,0.13,1.14,0.34,3.49
Sky_12,3359650493.4,115998409.2,10464338.5,4060402.3,2239396.35,99234272.05,0.55,0.36,0.13,1.03,0.31,3.45
Sky_13,3359653451.9,105311069.65,5078646.55,2616490.15,1501761.45,96114171.5,0.27,0.23,0.12,0.62,0.18,3.13
Sky_14,3359651334.95,109641848.1,5133478.25,5077178.7,2897831.8,96533359.35,0.27,0.45,0.12,0.84,0.25,3.26
Sky_15,3359651468.6,106271751.8,5157749.3,2968788.0,1811114.0,96334100.5,0.27,0.27,0.12,0.66,0.2,3.16
Sky_2,3359651571.9,109621258.25,4997522.0,4971665.05,2932933.25,96719137.95,0.26,0.45,0.12,0.83,0.25,3.26
Sky_3,3359647414.9,106194794.9,4961154.35,3217295.85,1825398.7,96190946.0,0.26,0.28,0.12,0.67,0.2,3.16
Sky_4,3359649567.1,109901756.5,6982656.55,3570093.6,1943282.9,97405723.45,0.36,0.31,0.12,0.8,0.24,3.27
Sky_5,3359651162.8,115567985.25,7707960.35,5884233.65,3508831.4,98466959.85,0.4,0.53,0.13,1.06,0.32,3.44
Sky_6,3359652264.0,118049837.5,11988583.45,3977441.75,2069370.0,100014442.3,0.63,0.34,0.13,1.09,0.33,3.51
Sky_7,3359651246.8,109266925.95,5720038.1,4003340.2,2666212.9,96877334.75,0.3,0.38,0.12,0.8,0.24,3.25
Sky_8,3359651957.25,105233055.2,4956234.0,2526179.8,1466920.25,96283721.15,0.26,0.23,0.12,0.61,0.18,3.13
Sky_9,3359651674.25,110187765.85,5544481.4,4798033.25,3119780.4,96725470.8,0.29,0.45,0.12,0.86,0.26,3.28
