mote,monitored_us,on_us,tx_us,rx_us,int_us,idle_us,E_tx(J),E_rx(J),E_idle(J),E_total(J),P_avg(mW),RDC(%)
Sky_1,3359653736,122542776,3428453,11063642,6449027,101601654,0.178965,0.987715,0.129847,1.296527,0.386,3.65
Sky_10,3359631414,113161924,9373730,3516381,1738762,98533051,0.489309,0.29639,0.125925,0.911624,0.271,3.37
Sky_11,3359648368,117531913,8612631,6377081,3857147,98685054,0.449579,0.57721,0.126119,1.152909,0.343,3.5
Sky_12,3359627574,113055027,8948158,3418379,2339496,98348994,0.467094,0.324744,0.12569,0.917528,0.273,3.37
Sky_13,3359639396,105800395,5321228,2825123,1406122,96247922,0.277768,0.238642,0.123005,0.639415,0.19,3.15
Sky_14,3359653521,111205510,5277277,5925717,3310558,96691958,0.275474,0.520926,0.123572,0.919972,0.274,3.31
Sky_15,3359637992,105539689,5273334,2589226,1425863,96251266,0.275268,0.226451,0.123009,0.624728,0.186,3.14
Sky_2,3359648729,108729474,5103165,4802600,2347683,96476026,0.266385,0.403276,0.123296,0.792958,0.236,3.24
Sky_3,3359642953,105413793,4572320,3206665,1798718,95836090,0.238675,0.282304,0.122479,0.643457,0.192,3.14
Sky_4,3359634014,106965336,5352678,3242072,1782606,96587980,0.27941,0.283392,0.123439,0.686241,0.204,3.18
Sky_5,3359638395,117127042,8657377,6172829,3409467,98887369,0.451915,0.540441,0.126378,1.118735,0.333,3.49
Sky_6,3359640901,117322263,11206022,4229492,2009388,99877361,0.584954,0.351873,0.127643,1.06447,0.317,3.49
Sky_7,3359636824,108438040,5416358,3730634,2509582,96781466,0.282734,0.351948,0.123687,0.758369,0.226,3.23
Sky_8,3359632924,103748320,4644181,2153325,1088970,95861844,0.242426,0.182865,0.122511,0.547803,0.163,3.09
Sky_9,3359640876,109203654,5310239,4508631,2734846,96649938,0.277194,0.408532,0.123519,0.809245,0.241,3.25
