mote,monitored_us,on_us,tx_us,rx_us,int_us,idle_us,E_tx(J),E_rx(J),E_idle(J),E_total(J),P_avg(mW),RDC(%)
Sky_1,3359676629.45,162980172.35,3741015.95,18607137.2,14299152.7,126332866.5,0.2,1.86,0.16,2.21,0.66,4.85
Sky_10,3359672335.1,110700393.05,5001160.85,4680325.75,2150415.85,98868490.6,0.26,0.39,0.13,0.77,0.23,3.29
Sky_11,3359675529.5,110962338.7,5226478.6,4702628.15,2096787.4,98936444.55,0.27,0.38,0.13,0.78,0.23,3.3
Sky_12,3359678279.75,127937259.15,12465350.55,7338979.9,3983345.9,104149582.8,0.65,0.64,0.13,1.42,0.42,3.81
Sky_13,3359674604.65,123514862.55,7476112.1,9125591.65,5276493.45,101636665.35,0.39,0.81,0.13,1.33,0.4,3.68
Sky_14,3359675634.35,132750390.85,14915387.85,8130322.6,4141531.2,105563149.2,0.78,0.69,0.13,1.61,0.48,3.95
Sky_15,3359675746.35,111917963.2,5260013.05,5045024.85,2364459.9,99248465.4,0.27,0.42,0.13,0.82,0.24,3.33
Sky_16,3359676478.1,113746342.2,5476640.45,6051851.7,2863945.45,99353904.6,0.29,0.5,0.13,0.92,0.27,3.39
Sky_17,3359675853.0,122687719.3,9330846.05,7097133.25,4122065.4,102137674.6,0.49,0.63,0.13,1.25,0.37,3.65
Sky_18,3359674994.8,107133534.95,5803624.55,2127543.05,1132183.15,98070184.2,0.3,0.18,0.13,0.61,0.18,3.19
Sky_19,3359676413.0,123602467.8,9478988.95,7459635.4,4301569.3,102362274.15,0.49,0.66,0.13,1.29,0.38,3.68
Sky_2,3359675304.3,114243244.1,6686832.95,5167347.7,2425950.75,99963112.7,0.35,0.43,0.13,0.91,0.27,3.4
Sky_20,3359674230.25,114009778.05,5712437.8,5962325.0,3048455.45,99286559.8,0.3,0.51,0.13,0.93,0.28,3.39
Sky_21,3359678617.9,111216834.75,5087541.15,4868988.6,2233064.6,99027240.4,0.27,0.4,0.13,0.79,0.24,3.31
Sky_22,3359675621.0,130642802.75,16433040.4,5701985.95,2934378.0,105573398.4,0.86,0.49,0.13,1.48,0.44,3.89
Sky_23,3359675442.9,126171697.3,11148470.05,7348208.45,4420697.25,103254321.55,0.58,0.66,0.13,1.38,0.41,3.76
Sky_24,3359674339.4,126935016.25,14065243.7,5636288.7,2855737.6,104377746.25,0.73,0.48,0.13,1.35,0.4,3.78
Sky_25,3359676661.8,110846245.2,5109284.15,4767951.85,2114946.55,98854062.65,0.27,0.39,0.13,0.78,0.23,3.3
Sky_26,3359676434.75,106007275.45,3983155.6,3270413.35,1369770.55,97383935.95,0.21,0.26,0.12,0.59,0.18,3.15
Sky_27,3359673803.3,111443747.95,5117363.0,5055750.8,2268322.55,99002311.6,0.27,0.41,0.13,0.81,0.24,3.32
Sky_28,3359676094.95,113590279.7,5220521.5,5911421.9,3009047.45,99449288.85,0.27,0.5,0.13,0.9,0.27,3.38
Sky_29,3359674975.4,110682508.5,5130505.6,4773290.7,2054700.75,98724011.45,0.27,0.39,0.13,0.78,0.23,3.29
Sky_3,3359678651.75,110697268.0,4101422.8,5528103.1,2919620.15,98148121.95,0.21,0.48,0.13,0.82,0.24,3.3
Sky_30,3359675609.6,105426453.55,3942300.3,3030991.0,1233793.6,97219368.65,0.21,0.24,0.12,0.57,0.17,3.14
Sky_4,3359675676.2,111686322.1,5578109.85,4999284.2,2223808.65,98885119.4,0.29,0.41,0.13,0.82,0.25,3.32
Sky_5,3359678155.25,107192627.1,5932941.8,2319490.15,907583.8,98032611.35,0.31,0.18,0.13,0.62,0.18,3.19
Sky_6,3359676777.9,109149152.2,4626312.95,4290452.15,1961352.45,98271034.65,0.24,0.35,0.13,0.72,0.21,3.25
Sky_7,3359677230.65,119016928.55,6359187.45,7328220.4,4027322.05,101302198.65,0.33,0.64,0.13,1.1,0.33,3.54
Sky_8,3359675022.35,142300361.15,21027568.2,7788499.15,4539650.65,108944643.15,1.1,0.7,0.14,1.93,0.57,4.24
Sky_9,3359673545.5,120956643.25,7206919.9,8048819.25,3980696.45,101720207.65,0.38,0.68,0.13,1.18,0.35,3.6
