node,prr_parent(last),prr_sender(last),prr_all_nei_avg,ul_sent,ul_recv,PDR_UL(%),dl_sent,dl_recv,PDR_DL(%),PDR_DL_CSV_last(%),UL_delay_samples,UL_delay_ticks_avg,UL_delay_ms_avg,DL_delay_samples,DL_delay_ticks_avg,DL_delay_ms_avg
01:00,,,71.24,0,0,,0,0,,,0,,,0,,
02:00,93.0,97.0,91.26,119,116,97.48,3,3,100.0,100.0,116,41.92,327.52,3,44.33,346.35
03:00,95.0,92.0,86.96,119,116,97.48,3,3,100.0,100.0,116,70.79,553.07,3,31.67,247.4
04:00,96.0,89.0,90.51,119,119,100.0,3,3,100.0,100.0,119,22.08,172.53,3,87.0,679.69
05:00,99.0,97.0,98.33,119,117,98.32,3,3,100.0,100.0,117,99.08,774.04,3,27.33,213.54
06:00,94.0,85.0,93.64,119,117,98.32,3,3,100.0,100.0,117,72.42,565.77,3,11.0,85.94
07:00,80.0,90.0,84.86,119,117,98.32,3,3,100.0,100.0,117,99.42,776.71,3,6.0,46.88
08:00,98.0,56.0,86.47,119,118,99.16,3,3,100.0,100.0,118,1.29,10.06,3,101.67,794.27
09:00,91.0,85.0,82.88,119,119,100.0,3,3,100.0,100.0,119,1.09,8.53,3,97.33,760.42
10:00,88.0,97.0,90.67,119,116,97.48,3,3,100.0,100.0,116,36.01,281.32,3,51.67,403.65
11:00,100.0,100.0,92.69,119,118,99.16,3,3,100.0,100.0,118,4.1,32.04,3,84.67,661.46
12:00,100.0,67.0,88.49,119,116,97.48,3,3,100.0,100.0,116,14.56,113.75,3,43.67,341.15
13:00,98.0,85.0,82.56,119,118,99.16,3,3,100.0,100.0,118,2.67,20.86,3,65.0,507.81
14:00,97.0,89.0,90.95,119,116,97.48,3,3,100.0,100.0,116,24.5,191.41,3,24.0,187.5
15:00,94.0,94.0,92.47,119,117,98.32,3,3,100.0,100.0,117,93.69,731.97,3,0.0,0.0
16:00,98.0,91.0,90.89,119,116,97.48,3,3,100.0,100.0,116,13.21,103.18,3,46.0,359.38
17:00,100.0,67.0,85.6,119,116,97.48,3,3,100.0,100.0,116,5.2,40.61,3,62.33,486.98
18:00,97.0,90.0,92.66,119,116,97.48,3,3,100.0,100.0,116,100.37,784.15,3,9.0,70.31
19:00,100.0,64.0,84.79,119,118,99.16,2,2,100.0,100.0,118,94.24,736.23,2,32.5,253.91
20:00,86.0,90.0,90.13,119,118,99.16,2,2,100.0,100.0,118,70.03,547.14,2,0.0,0.0
21:00,100.0,100.0,94.34,119,118,99.16,2,2,100.0,100.0,118,53.71,419.62,2,4.0,31.25
22:00,100.0,63.0,88.23,119,116,97.48,2,2,100.0,100.0,116,101.41,792.3,2,0.0,0.0
23:00,98.0,77.0,84.92,119,119,100.0,2,2,100.0,100.0,119,59.22,462.64,2,23.5,183.59
24:00,98.0,69.0,88.0,119,119,100.0,2,2,100.0,100.0,119,3.34,26.06,2,49.0,382.81
25:00,100.0,100.0,94.03,119,116,97.48,2,2,100.0,100.0,116,9.93,77.59,2,56.5,441.41
26:00,100.0,97.0,97.75,119,117,98.32,2,2,100.0,100.0,117,3.65,28.51,2,51.5,402.34
27:00,100.0,100.0,91.68,119,117,98.32,2,2,100.0,100.0,117,56.73,443.18,2,0.0,0.0
28:00,98.0,88.0,90.55,119,115,96.64,2,2,100.0,100.0,115,34.87,272.42,2,20.5,160.16
29:00,87.0,98.0,91.87,119,115,96.64,2,2,100.0,100.0,115,55.7,435.12,2,3.5,27.34
30:00,100.0,97.0,98.59,119,118,99.16,2,2,100.0,100.0,118,80.01,625.07,2,0.0,0.0
