seed,nodes,E_total_sum(J),E_total_avg_per_node(J),P_avg_per_node(mW),RDC_avg(%)
10,30,30.350733,1.011691,0.301,3.49
11,30,32.474101,1.08247,0.322,3.55
12,30,32.34439,1.078146,0.321,3.54
13,30,31.468751,1.048958,0.312,3.51
14,30,31.801107,1.060037,0.316,3.53
15,30,32.432169,1.081072,0.322,3.54
16,30,31.043617,1.034787,0.308,3.51
17,30,30.794342,1.026478,0.306,3.51
18,30,31.41106,1.047035,0.312,3.52
19,30,32.282528,1.076084,0.32,3.54
1,30,31.100116,1.036671,0.309,3.52
20,30,31.957377,1.065246,0.317,3.53
2,30,32.772716,1.092424,0.325,3.55
3,30,30.466441,1.015548,0.302,3.5
4,30,31.269494,1.042316,0.31,3.52
5,30,30.938318,1.031277,0.307,3.51
6,30,30.66928,1.022309,0.304,3.5
7,30,30.820245,1.027341,0.306,3.5
8,30,31.650482,1.055016,0.314,3.53
9,30,31.567777,1.052259,0.313,3.53
