seed,prr_parent(last)_avg,prr_sender(last)_avg,prr_all_nei_avg_avg,PDR_UL(%)_avg,PDR_DL(%)_avg
10,95.93,86.38,89.35,98.64,100.0,27.94,218.31,47.82,373.56
11,95.52,85.52,88.99,97.89,100.0,62.52,488.43,30.59,238.96
12,96.03,86.69,89.6,98.35,100.0,45.7,357.01,35.64,278.47
13,96.28,85.97,89.1,98.29,100.0,46.61,364.13,33.8,264.1
14,94.55,87.0,88.64,98.46,100.0,11.62,90.76,72.86,569.23
15,96.14,86.55,89.64,98.26,100.0,28.59,223.38,51.22,400.14
16,95.38,87.14,89.48,98.35,100.0,20.46,159.84,64.14,501.08
17,95.52,87.38,88.72,98.23,100.0,26.36,205.93,52.97,413.79
18,95.76,85.66,88.98,98.61,100.0,72.69,567.88,28.82,225.13
19,95.1,86.79,89.17,97.77,100.0,84.79,662.39,24.12,188.4
1,95.83,88.0,90.35,98.52,100.0,30.9,241.39,50.58,395.16
20,96.21,86.03,89.74,97.97,100.0,93.93,733.82,10.05,78.53
2,92.24,89.83,88.8,98.61,100.0,83.55,652.7,24.06,187.99
3,95.21,87.62,89.42,98.58,100.0,6.33,49.42,92.62,723.6
4,95.55,85.0,88.78,98.32,100.0,7.55,59.0,87.61,684.45
5,96.07,86.79,90.2,98.32,100.0,15.01,117.26,77.44,605.02
6,95.83,87.45,89.37,98.2,100.0,51.7,403.91,32.38,253.01
7,95.79,86.52,90.01,98.46,100.0,83.26,650.46,13.47,105.24
8,95.07,87.28,89.18,98.38,100.0,79.5,621.09,17.13,133.8
9,95.76,89.03,88.97,98.29,100.0,98.51,769.62,14.22,111.08
