node,prr_parent(last),prr_sender(last),prr_all_nei_avg,ul_sent,ul_recv,PDR_UL(%),dl_sent,dl_recv,PDR_DL(%),PDR_DL_CSV_last(%),UL_delay_samples,UL_delay_ticks_avg,UL_delay_ms_avg,DL_delay_samples,DL_delay_ticks_avg,DL_delay_ms_avg
01:00,,,72.02,0.0,0.0,,0.0,0.0,,,0.0,,,0.0,,
02:00,92.6,94.55,93.24,119.0,117.35,98.61,3.0,3.0,100.0,100.0,117.35,46.2,360.96,3.0,51.72,404.04
03:00,94.55,87.8,88.4,119.0,116.85,98.19,3.0,3.0,100.0,100.0,116.85,62.16,485.63,3.0,40.72,318.1
04:00,91.85,92.65,92.34,119.0,116.9,98.24,3.0,3.0,100.0,100.0,116.9,60.53,472.88,3.0,52.5,410.16
05:00,97.75,97.65,98.12,119.0,116.95,98.28,3.0,3.0,100.0,100.0,116.95,61.06,477.05,3.0,53.78,420.18
06:00,92.75,92.9,91.69,119.0,116.75,98.11,3.0,3.0,100.0,100.0,116.75,52.36,409.06,3.0,42.48,331.9
07:00,85.4,89.0,85.03,119.0,117.55,98.78,3.0,3.0,100.0,100.0,117.55,55.62,434.52,3.0,47.58,371.74
08:00,97.9,71.75,84.89,119.0,117.55,98.78,3.0,3.0,100.0,100.0,117.55,32.6,254.68,3.0,49.45,386.33
09:00,86.85,88.05,84.91,119.0,117.25,98.53,3.0,3.0,100.0,100.0,117.25,57.67,450.53,3.0,46.05,359.77
10:00,93.1,92.35,93.02,119.0,117.2,98.49,3.0,3.0,100.0,100.0,117.2,32.0,250.03,3.0,71.38,557.68
11:00,94.3,94.0,91.13,119.0,116.6,97.98,3.0,3.0,100.0,100.0,116.6,49.69,388.22,3.0,49.97,390.37
12:00,99.65,70.55,86.96,119.0,117.1,98.4,3.0,3.0,100.0,100.0,117.1,57.29,447.56,3.0,28.47,222.4
13:00,99.6,80.3,83.44,119.0,117.6,98.82,3.0,3.0,100.0,100.0,117.6,44.44,347.2,3.0,32.65,255.08
14:00,99.3,74.7,88.03,119.0,117.35,98.61,3.0,3.0,100.0,100.0,117.35,36.5,285.15,3.0,38.22,298.57
15:00,94.65,92.45,91.51,119.0,116.6,97.98,3.0,3.0,100.0,100.0,116.6,49.37,385.73,3.0,49.7,388.28
16:00,93.7,92.7,91.17,119.0,116.65,98.03,3.0,3.0,100.0,100.0,116.65,50.36,393.43,3.0,43.77,341.93
17:00,99.7,71.1,84.5,119.0,117.15,98.45,3.0,3.0,100.0,100.0,117.15,52.77,412.23,3.0,28.28,220.96
18:00,96.85,96.85,96.52,119.0,117.35,98.61,3.0,3.0,100.0,100.0,117.4,48.81,381.35,3.0,50.73,396.35
19:00,99.5,73.45,85.17,119.0,117.65,98.87,2.0,2.0,100.0,100.0,117.65,60.35,471.49,2.0,30.78,240.43
20:00,92.4,92.95,91.17,119.0,117.0,98.32,2.0,2.0,100.0,100.0,117.0,53.14,415.17,2.0,43.48,339.65
21:00,93.5,94.0,90.26,119.0,116.65,98.03,2.0,2.0,100.0,100.0,116.65,50.7,396.13,2.0,40.98,320.12
22:00,98.9,67.65,86.01,119.0,116.05,97.52,2.0,2.0,100.0,100.0,116.05,50.87,397.4,2.0,30.68,239.65
23:00,99.35,75.65,84.53,119.0,117.75,98.95,2.0,2.0,100.0,100.0,117.75,36.14,282.36,2.0,35.28,275.59
24:00,99.1,69.75,86.18,119.0,117.1,98.4,2.0,2.0,100.0,100.0,117.1,44.09,344.48,2.0,30.45,237.89
25:00,93.8,93.05,90.9,119.0,116.8,98.15,2.0,2.0,100.0,100.0,116.8,48.53,379.11,2.0,38.35,299.61
26:00,98.3,97.2,97.99,119.0,116.8,98.15,2.0,2.0,100.0,100.0,116.8,41.09,321.02,2.0,43.8,342.19
27:00,94.4,94.6,90.77,119.0,117.15,98.45,2.0,2.0,100.0,100.0,117.15,59.58,465.48,2.0,23.18,181.05
28:00,96.3,91.4,90.75,119.0,116.75,98.11,2.0,2.0,100.0,100.0,116.75,43.9,342.97,2.0,55.5,433.59
29:00,94.7,94.15,90.94,119.0,116.6,97.98,2.0,2.0,100.0,100.0,116.6,46.08,359.96,2.0,46.25,361.33
30:00,98.4,97.8,98.16,119.0,116.15,97.61,2.0,2.0,100.0,100.0,116.15,33.47,261.46,2.0,53.08,414.65
