mote,monitored_us,on_us,tx_us,rx_us,int_us,idle_us,E_tx(J),E_rx(J),E_idle(J),E_total(J),P_avg(mW),RDC(%)
Sky_1,3359703033,162733009,3671216,19066931,13881677,126113185,0.191637,1.858301,0.161173,2.211112,0.658,4.84
Sky_10,3359704449,109165556,4032483,4042885,2228423,98861765,0.210496,0.353702,0.126345,0.690543,0.206,3.25
Sky_11,3359697142,110219791,5394831,4118804,1910526,98795630,0.28161,0.340054,0.126261,0.747925,0.223,3.28
Sky_12,3359684046,124668012,11701194,6348162,3253438,103365218,0.610802,0.54153,0.132101,1.284433,0.382,3.71
Sky_13,3359694640,121416198,6180480,9948854,4536867,100749997,0.322621,0.816995,0.128758,1.268374,0.378,3.61
Sky_14,3359689336,127419987,12282429,7882063,3369834,103885661,0.641143,0.634607,0.132766,1.408516,0.419,3.79
Sky_15,3359687385,110216940,4840083,4590292,2093371,98693194,0.252652,0.376959,0.12613,0.755741,0.225,3.28
Sky_16,3359703172,115290591,5790188,6006209,3165035,100329159,0.302248,0.517258,0.128221,0.947727,0.282,3.43
Sky_17,3359677530,116912861,6439893,5867028,3375260,101230680,0.336162,0.521265,0.129373,0.9868,0.294,3.48
Sky_18,3359686950,108146389,6109621,1963145,1277341,98796282,0.318922,0.182763,0.126262,0.627947,0.187,3.22
Sky_19,3359679284,117345305,7831219,5542513,3196798,100774775,0.40879,0.492897,0.12879,1.030477,0.307,3.49
Sky_2,3359699886,117365597,8081664,5929610,2908960,100445363,0.421863,0.498495,0.128369,1.048727,0.312,3.49
Sky_20,3359697877,113992704,5852081,6130499,2917066,99093058,0.305479,0.510283,0.126641,0.942402,0.281,3.39
Sky_21,3359704379,111409195,4550164,4411668,2643929,99803434,0.237519,0.397936,0.127549,0.763003,0.227,3.32
Sky_22,3359687270,132885393,17991683,5474380,2883851,106535479,0.939166,0.471404,0.136152,1.546722,0.46,3.96
Sky_23,3359693748,128902401,12631073,7822693,4409582,104039053,0.659342,0.6899,0.132962,1.482204,0.441,3.84
Sky_24,3359677287,129427712,15669365,4929360,2840355,105988632,0.817941,0.438212,0.135453,1.391606,0.414,3.85
Sky_25,3359699612,111096740,4984785,5380774,2201843,98529338,0.260206,0.42766,0.12592,0.813786,0.242,3.31
Sky_26,3359675147,106990924,3979098,3062828,1512518,98436480,0.207709,0.25805,0.125802,0.59156,0.176,3.18
Sky_27,3359694736,112484709,5388608,5768923,2321830,99005348,0.281285,0.456318,0.126529,0.864133,0.257,3.35
Sky_28,3359699591,115829012,4984762,7691199,3908148,99244903,0.260205,0.654203,0.126835,1.041243,0.31,3.45
Sky_29,3359691875,112217596,5463792,5410894,2350291,98992619,0.28521,0.437731,0.126513,0.849453,0.253,3.34
Sky_3,3359702145,111829439,3691336,6681766,3228004,98228333,0.192688,0.558911,0.125536,0.877135,0.261,3.33
Sky_30,3359704529,107050678,3973231,3112170,1657571,98307706,0.207403,0.269013,0.125637,0.602053,0.179,3.19
Sky_4,3359686861,113284259,6152048,5469197,2376575,99286439,0.321137,0.442502,0.126888,0.890527,0.265,3.37
Sky_5,3359687052,107665449,5778548,2233306,1164660,98488935,0.30164,0.191645,0.125869,0.619154,0.184,3.2
Sky_6,3359687702,108398503,3767375,3964517,2238602,98428009,0.196657,0.349856,0.125791,0.672304,0.2,3.23
Sky_7,3359689732,117423976,5398729,7856327,3926567,100242353,0.281814,0.664555,0.12811,1.074479,0.32,3.5
Sky_8,3359685654,145109316,23727717,7133291,4096286,110152022,1.238587,0.633348,0.140774,2.012709,0.599,4.32
Sky_9,3359675276,120715507,6684803,6103588,4103639,103823477,0.348947,0.575688,0.132686,1.057321,0.315,3.59
