mote,monitored_us,on_us,tx_us,rx_us,int_us,idle_us,E_tx(J),E_rx(J),E_idle(J),E_total(J),P_avg(mW),RDC(%)
Sky_1,3359692291,165756882,3788905,19154233,13763155,129050589,0.197781,1.856541,0.164927,2.219248,0.661,4.93
Sky_10,3359684150,110384551,4456146,4635311,2393790,98899304,0.232611,0.396441,0.126393,0.755445,0.225,3.29
Sky_11,3359707660,110669688,5269785,4803471,1934845,98661587,0.275083,0.380041,0.12609,0.781213,0.233,3.29
Sky_12,3359713010,127802602,11988707,8437010,3770251,103606634,0.625811,0.68849,0.132409,1.446709,0.431,3.8
Sky_13,3359695076,124227688,8658465,7084195,6077438,102407590,0.451972,0.742316,0.130877,1.325165,0.394,3.7
Sky_14,3359712139,130202891,13648444,7532383,3931023,105091041,0.712449,0.646536,0.134306,1.493291,0.444,3.88
Sky_15,3359697757,110449169,5347548,3481333,2063288,99557000,0.279142,0.312717,0.127234,0.719092,0.214,3.29
Sky_16,3359706284,111890013,5744041,5022208,2249338,98874426,0.299839,0.410115,0.126362,0.836316,0.249,3.33
Sky_17,3359705922,121950210,9150440,6871603,3970343,101957824,0.477653,0.611486,0.130302,1.219441,0.363,3.63
Sky_18,3359713409,107113390,5240584,2411965,1373791,98087050,0.273558,0.213517,0.125355,0.61243,0.182,3.19
Sky_19,3359705961,121158674,9156977,6389357,4043712,101568628,0.477994,0.588425,0.129805,1.196224,0.356,3.61
Sky_2,3359694146,116519564,7606551,4339994,2737144,101835875,0.397062,0.399151,0.130146,0.926359,0.276,3.47
Sky_20,3359704961,111517484,5650926,4787019,2282446,98797093,0.294978,0.398718,0.126263,0.819959,0.244,3.32
Sky_21,3359703502,109814457,5461114,4145993,1783079,98424271,0.28507,0.3344,0.125786,0.745256,0.222,3.27
Sky_22,3359713148,128853741,14489363,6949170,3155547,104259661,0.756345,0.569906,0.133244,1.459495,0.434,3.84
Sky_23,3359689252,132953544,14562060,8428575,4407771,105555138,0.76014,0.72397,0.134899,1.619009,0.482,3.96
Sky_24,3359685800,123887518,10999774,6800971,3141695,102945078,0.574188,0.560766,0.131564,1.266518,0.377,3.69
Sky_25,3359684205,110972433,5162379,4708887,2145268,98955899,0.269476,0.386574,0.126466,0.782516,0.233,3.3
Sky_26,3359689096,106884560,4331560,3570118,1468260,97514622,0.226107,0.284165,0.124624,0.634896,0.189,3.18
Sky_27,3359689624,112847124,5095218,6178710,2618648,98954548,0.26597,0.496171,0.126464,0.888605,0.264,3.36
Sky_28,3359699091,109784378,4955804,4308829,1901672,98618073,0.258693,0.350272,0.126034,0.734999,0.219,3.27
Sky_29,3359702659,109612631,5029221,4356881,1736993,98489536,0.262525,0.343694,0.12587,0.732089,0.218,3.26
Sky_3,3359696278,110716334,4191076,4457536,2900287,99167435,0.218774,0.414981,0.126736,0.760491,0.226,3.3
Sky_30,3359711514,105631732,4297885,2957474,1213992,97162381,0.22435,0.235271,0.124174,0.583794,0.174,3.14
Sky_4,3359688478,114926304,7389090,5468209,2316449,99752556,0.38571,0.439055,0.127484,0.952249,0.283,3.42
Sky_5,3359702310,107205859,5854276,2615696,844250,97891637,0.305593,0.195141,0.125106,0.62584,0.186,3.19
Sky_6,3359699159,108913735,5336346,3579249,1705851,98292289,0.278557,0.29808,0.125618,0.702254,0.209,3.24
Sky_7,3359700658,115035299,5738193,6453525,3015821,99827760,0.299534,0.534071,0.12758,0.961185,0.286,3.42
Sky_8,3359711995,142034437,20171010,8343295,4503469,109016663,1.052927,0.724557,0.139323,1.916808,0.571,4.23
Sky_9,3359708026,121369118,6893916,8538574,4437369,101499259,0.359862,0.731843,0.129716,1.221422,0.364,3.61
