node,prr_parent(last),prr_sender(last),prr_all_nei_avg,ul_sent,ul_recv,PDR_UL(%),dl_sent,dl_recv,PDR_DL(%),PDR_DL_CSV_last(%),UL_delay_samples,UL_delay_ticks_avg,UL_delay_ms_avg,DL_delay_samples,DL_delay_ticks_avg,DL_delay_ms_avg
01:00,,,70.93,0,0,,0,0,,,0,,,0,,
02:00,98.0,92.0,94.8,119,119,100.0,3,3,100.0,100.0,119,45.19,353.07,3,45.33,354.17
03:00,98.0,91.0,89.12,119,115,96.64,3,3,100.0,100.0,115,118.37,924.8,3,0.0,0.0
04:00,82.0,95.0,90.94,119,117,98.32,3,3,100.0,100.0,117,98.54,769.83,3,4.67,36.46
05:00,99.0,99.0,97.18,119,116,97.48,3,3,100.0,100.0,116,141.59,1106.21,3,0.0,0.0
06:00,98.0,95.0,90.43,119,117,98.32,3,3,100.0,100.0,117,83.91,655.52,3,6.67,52.08
07:00,83.0,92.0,86.18,119,117,98.32,3,3,100.0,100.0,117,128.55,1004.27,3,4.33,33.85
08:00,98.0,65.0,85.88,119,117,98.32,3,3,100.0,100.0,117,100.7,786.73,3,6.67,52.08
09:00,86.0,86.0,86.0,119,119,100.0,3,3,100.0,100.0,119,117.53,918.2,3,3.0,23.44
10:00,95.0,90.0,93.15,119,118,99.16,3,3,100.0,100.0,118,42.72,333.75,3,56.33,440.1
11:00,95.0,95.0,90.92,119,115,96.64,3,3,100.0,100.0,115,106.79,834.31,3,0.0,0.0
12:00,100.0,68.0,88.64,119,117,98.32,3,3,100.0,100.0,117,112.99,882.75,3,0.0,0.0
13:00,100.0,81.0,83.77,119,117,98.32,3,3,100.0,100.0,117,45.11,352.43,3,15.67,122.4
14:00,100.0,68.0,91.25,119,118,99.16,3,3,100.0,100.0,118,86.14,673.0,3,2.67,20.83
15:00,100.0,94.0,92.7,119,116,97.48,3,3,100.0,100.0,116,34.74,271.42,3,19.0,148.44
16:00,91.0,100.0,90.36,119,118,99.16,3,3,100.0,100.0,118,132.58,1035.75,3,0.0,0.0
17:00,100.0,68.0,84.18,119,118,99.16,3,3,100.0,100.0,118,101.37,791.98,3,1.0,7.81
18:00,97.0,97.0,96.36,119,119,100.0,3,3,100.0,100.0,119,98.05,766.02,3,9.33,72.92
19:00,100.0,81.0,87.25,119,119,100.0,2,2,100.0,100.0,119,71.47,558.36,2,0.0,0.0
20:00,100.0,100.0,94.76,119,115,96.64,2,2,100.0,100.0,115,108.7,849.25,2,5.0,39.06
21:00,98.0,84.0,91.89,119,117,98.32,2,2,100.0,100.0,117,122.94,960.47,2,0.0,0.0
22:00,100.0,55.0,86.38,119,119,100.0,2,2,100.0,100.0,119,29.46,230.17,2,40.0,312.5
23:00,100.0,73.0,84.76,119,118,99.16,2,2,100.0,100.0,118,42.83,334.61,2,31.0,242.19
24:00,100.0,69.0,85.72,119,115,96.64,2,2,100.0,100.0,115,82.3,642.93,2,7.0,54.69
25:00,90.0,90.0,89.86,119,117,98.32,2,2,100.0,100.0,117,115.89,905.38,2,0.0,0.0
26:00,94.0,100.0,97.95,119,119,100.0,2,2,100.0,100.0,119,16.32,127.49,2,41.5,324.22
27:00,93.0,93.0,92.69,119,117,98.32,2,2,100.0,100.0,117,102.25,798.81,2,0.0,0.0
28:00,88.0,100.0,93.68,119,116,97.48,2,2,100.0,100.0,116,54.66,427.06,2,33.0,257.81
29:00,97.0,90.0,94.02,119,116,97.48,2,2,100.0,100.0,116,59.13,461.95,2,20.0,156.25
30:00,98.0,98.0,98.48,119,117,98.32,2,2,100.0,100.0,117,13.66,106.7,2,38.5,300.78
