mote,monitored_us,on_us,tx_us,rx_us,int_us,idle_us,E_tx(J),E_rx(J),E_idle(J),E_total(J),P_avg(mW),RDC(%)
Sky_1,3359713177,162049340,3769719,18564487,13773782,125941352,0.196779,1.823878,0.160953,2.181611,0.649,4.82
Sky_10,3359715646,112578126,5544503,4286889,2448956,100297778,0.289423,0.379902,0.128181,0.797505,0.237,3.35
Sky_11,3359689692,109996942,5379829,3934948,1837040,98845125,0.280827,0.32554,0.126324,0.732691,0.218,3.27
Sky_12,3359702913,130874690,15160462,7196518,3449850,105067860,0.791376,0.600455,0.134277,1.526108,0.454,3.9
Sky_13,3359697017,129970828,12520714,8652549,4408588,104388977,0.653581,0.736648,0.133409,1.523639,0.454,3.87
Sky_14,3359710924,136367652,15978289,9501661,4127268,106760434,0.834067,0.768672,0.13644,1.739178,0.518,4.06
Sky_15,3359715150,113829695,5734705,4522185,2571872,101000933,0.299352,0.400105,0.129079,0.828536,0.247,3.39
Sky_16,3359701107,112859919,5250543,6006725,2792157,98810494,0.274078,0.496257,0.12628,0.896615,0.267,3.36
Sky_17,3359711549,123592683,7594344,9104341,5304828,101589170,0.396425,0.812677,0.129831,1.338933,0.399,3.68
Sky_18,3359702258,106456472,5597882,1983564,1140347,97734679,0.292209,0.176189,0.124905,0.593303,0.177,3.17
Sky_19,3359699914,121712237,8112938,7679214,4370521,101549564,0.423495,0.679605,0.12978,1.232881,0.367,3.62
Sky_2,3359697081,112599171,6470197,4455779,2010647,99662548,0.337744,0.364706,0.127369,0.829819,0.247,3.35
Sky_20,3359712286,116214541,5471263,7264658,3774331,99704289,0.2856,0.622599,0.127422,1.035621,0.308,3.46
Sky_21,3359699965,110886272,5459364,4790261,1990589,98646058,0.284979,0.38244,0.12607,0.793488,0.236,3.3
Sky_22,3359711487,129212390,15437838,5732423,2977011,105065118,0.805855,0.491212,0.134273,1.43134,0.426,3.85
Sky_23,3359709926,124422967,8772767,9284341,4288129,102077730,0.457938,0.765487,0.130455,1.353881,0.403,3.7
Sky_24,3359693083,127997086,16031442,4739990,2164019,105061635,0.836841,0.389386,0.134269,1.360496,0.405,3.81
Sky_25,3359690669,109069470,5066211,4182191,1583773,98237295,0.264456,0.3252,0.125547,0.715204,0.213,3.25
Sky_26,3359690009,103964060,3587992,2613244,967942,96794882,0.187293,0.201979,0.123704,0.512976,0.153,3.09
Sky_27,3359709752,112086790,5052377,5972127,2385352,98676934,0.263734,0.471362,0.126109,0.861205,0.256,3.34
Sky_28,3359702332,112595745,4875398,6001000,3035395,98683952,0.254496,0.509653,0.126118,0.890267,0.265,3.35
Sky_29,3359708057,110732333,4664011,5645203,2130193,98292926,0.243461,0.438532,0.125618,0.807612,0.24,3.3
Sky_3,3359694315,108982204,4311495,4411190,2589580,97669939,0.22506,0.394843,0.124822,0.744726,0.222,3.24
Sky_30,3359691757,105021879,3770951,3257016,1081874,96912038,0.196844,0.244713,0.123854,0.565411,0.168,3.13
Sky_4,3359696347,110218493,5299077,4623333,1778643,98517440,0.276612,0.361071,0.125905,0.763589,0.227,3.28
Sky_5,3359697604,106918222,5706681,2330753,978891,97901897,0.297889,0.186664,0.125119,0.609671,0.181,3.18
Sky_6,3359706319,109592693,3965116,5225913,2355367,98046297,0.206979,0.427584,0.125303,0.759866,0.226,3.26
Sky_7,3359715884,120248613,7198179,5441842,4398804,103209788,0.375745,0.555012,0.131902,1.062659,0.316,3.58
Sky_8,3359714605,136378089,15145849,8752433,5990702,106489105,0.790613,0.831513,0.136093,1.758219,0.523,4.06
Sky_9,3359699405,119799884,6708156,8306631,3835756,100949341,0.350166,0.684831,0.129013,1.16401,0.346,3.57
