mote,monitored_us,on_us,tx_us,rx_us,int_us,idle_us,E_tx(J),E_rx(J),E_idle(J),E_total(J),P_avg(mW),RDC(%)
Sky_1,3359685188,122982471,3346701,11370219,6019902,102245649,0.174698,0.980803,0.13067,1.286171,0.383,3.66
Sky_10,3359688489,109653196,5293750,4209335,3042756,97107355,0.276334,0.409018,0.124103,0.809455,0.241,3.26
Sky_11,3359693349,124575697,14628832,5414803,2787321,101744741,0.763625,0.4626,0.13003,1.356255,0.404,3.71
Sky_12,3359706540,110059940,6114177,4240977,2663477,97041309,0.31916,0.389411,0.124019,0.83259,0.248,3.28
Sky_13,3359700674,105868737,5360067,2690249,1544935,96273486,0.279795,0.238864,0.123038,0.641697,0.191,3.15
Sky_14,3359712960,110241296,5009970,5676238,2941616,96613472,0.26152,0.486047,0.123472,0.871039,0.259,3.28
Sky_15,3359687557,108067126,5135805,3652809,2185233,97093279,0.268089,0.329266,0.124085,0.72144,0.215,3.22
Sky_2,3359700372,108528631,4745422,4512672,2538326,96732211,0.247711,0.397676,0.123624,0.769011,0.229,3.23
Sky_3,3359697606,105252027,5006737,2619482,1526818,96098990,0.261352,0.233851,0.122815,0.618018,0.184,3.13
Sky_4,3359699608,108064503,5608374,3594070,2018456,96843603,0.292757,0.316546,0.123766,0.73307,0.218,3.22
Sky_5,3359700896,116919436,8526406,6169531,3265484,98958015,0.445078,0.532135,0.126468,1.103682,0.329,3.48
Sky_6,3359709580,116660054,10740529,4349283,1926829,99643413,0.560656,0.353973,0.127344,1.041973,0.31,3.47
Sky_7,3359689516,110747730,5889950,4213912,3369467,97274401,0.307455,0.427703,0.124317,0.859475,0.256,3.3
Sky_8,3359686616,105172238,4860148,2353510,1469611,96488969,0.2537,0.215624,0.123313,0.592637,0.176,3.13
Sky_9,3359702696,108910679,4937565,4763028,2789871,96420215,0.257741,0.425984,0.123225,0.806949,0.24,3.24
