mote,monitored_us,on_us,tx_us,rx_us,int_us,idle_us,E_tx(J),E_rx(J),E_idle(J),E_total(J),P_avg(mW),RDC(%)
Sky_1,3359675076,219758197,5891812,47830810,42771653,123263922,0.307553,5.109979,0.157531,5.575063,1.659,6.54
Sky_10,3359697705,153517724,12560876,22432872,13150999,105372977,0.655678,2.00693,0.134667,2.797275,0.833,4.57
Sky_11,3359700200,177024164,22990428,25774001,16570059,111689676,1.2001,2.388205,0.142739,3.731045,1.111,5.27
Sky_12,3359672846,200708622,20357863,36538188,26127813,117684758,1.06268,3.534362,0.150401,4.747444,1.413,5.97
Sky_13,3359697705,191033178,13526756,32472370,27474972,117559080,0.706097,3.38103,0.150241,4.237367,1.261,5.69
Sky_14,3359697705,198332896,21679642,34799236,23166776,118687242,1.131677,3.269283,0.151682,4.552643,1.355,5.9
Sky_15,3359697705,172989355,23651395,23029148,15376827,110931985,1.234603,2.166097,0.141771,3.542471,1.054,5.15
Sky_16,3359700756,177278967,23774620,25775891,16800395,110928061,1.241035,2.401303,0.141766,3.784104,1.126,5.28
Sky_17,3359677711,198850989,15373700,33054211,28930336,121492742,0.802507,3.495928,0.155268,4.453703,1.326,5.92
Sky_18,3359688598,141302495,13769644,14532336,8925720,104074795,0.718775,1.323034,0.133008,2.174817,0.647,4.21
Sky_19,3359700770,188681416,12317088,36314994,27939787,112109547,0.642952,3.62397,0.143276,4.410198,1.313,5.62
Sky_2,3359697705,153531081,11705916,21921003,14187817,105716345,0.611049,2.036537,0.135105,2.782692,0.828,4.57
Sky_20,3359678371,185426169,28939185,22484232,17042495,116960257,1.510625,2.229307,0.149475,3.889408,1.158,5.52
Sky_21,3359676625,160822528,16446210,20938070,15620175,107818073,0.858492,2.061885,0.137791,3.058169,0.91,4.79
Sky_22,3359691323,172554169,16020351,26210239,18768127,111555452,0.836262,2.53678,0.142568,3.51561,1.046,5.14
Sky_23,3359689257,200450173,21705842,33486536,24446569,120811226,1.133045,3.267427,0.154397,4.554869,1.356,5.97
Sky_24,3359676301,191455429,21010694,30954946,22661117,116828672,1.096758,3.023946,0.149307,4.270011,1.271,5.7
Sky_25,3359678166,161808312,16741906,20767936,15949526,108348944,0.873927,2.070865,0.13847,3.083262,0.918,4.82
Sky_26,3359697011,143267211,13280621,16883690,10058009,103044891,0.693248,1.519512,0.131691,2.344452,0.698,4.26
Sky_27,3359696368,158178142,17878838,20294575,13165844,106838885,0.933275,1.887168,0.13654,2.956983,0.88,4.71
Sky_28,3359679483,164972056,16616485,21626519,15273737,111455315,0.867381,2.081174,0.14244,3.090995,0.92,4.91
Sky_29,3359687236,149293403,14272399,18343972,11876248,104800784,0.745019,1.70442,0.133935,2.583375,0.769,4.44
Sky_3,3359700633,160065244,11803121,25974318,15325051,106962754,0.616123,2.329284,0.136698,3.082106,0.917,4.76
Sky_30,3359679077,144259619,12839895,12975817,11814207,106629700,0.670243,1.398157,0.136273,2.204673,0.656,4.29
Sky_4,3359701087,146813506,12588820,18182507,11046611,104995568,0.657136,1.648522,0.134184,2.439843,0.726,4.37
Sky_5,3359697705,138687477,13497061,13011776,8563186,103615454,0.704547,1.216828,0.132421,2.053795,0.611,4.13
Sky_6,3359686618,150281264,13056080,19476168,12020387,105728629,0.681527,1.776406,0.135121,2.593054,0.772,4.47
Sky_7,3359697705,179785064,15495924,31693410,20352259,112243471,0.808887,2.935376,0.143447,3.88771,1.157,5.35
Sky_8,3359699255,202784312,26334675,35301297,21203419,119944921,1.37467,3.186866,0.15329,4.714826,1.403,6.04
Sky_9,3359697705,168909363,12335319,25208920,18723826,112641298,0.643904,2.477807,0.143956,3.265666,0.972,5.03
