mote,monitored_us,on_us,tx_us,rx_us,int_us,idle_us,E_tx(J),E_rx(J),E_idle(J),E_total(J),P_avg(mW),RDC(%)
Sky_1,3359658455,216565581,5851730,47272958,40525354,122915539,0.30546,4.951825,0.157086,5.414371,1.612,6.45
Sky_10,3359640644,148918666,11576564,19490775,12319024,105532303,0.604297,1.794073,0.13487,2.53324,0.754,4.43
Sky_11,3359663560,177208777,26715448,20434937,15856086,114202306,1.394546,2.046814,0.145951,3.587311,1.068,5.27
Sky_12,3359652322,187228447,13266812,35057762,25202119,113701754,0.692528,3.398657,0.145311,4.236496,1.261,5.57
Sky_13,3359648568,204875768,20817905,37149366,28083610,118824887,1.086695,3.67914,0.151858,4.917693,1.464,6.1
Sky_14,3359646237,195504342,22969314,32735915,21993052,117806061,1.198998,3.086714,0.150556,4.436268,1.32,5.82
Sky_15,3359638105,175091268,25661467,22257513,14659906,112512382,1.339529,2.082142,0.143791,3.565462,1.061,5.21
Sky_16,3359634888,162709283,17627568,21088335,14549142,109444238,0.920159,2.009954,0.13987,3.069982,0.914,4.84
Sky_17,3359645687,189130062,17238098,32317162,24817062,114757740,0.899829,3.22237,0.14666,4.268859,1.271,5.63
Sky_18,3359645964,137552776,12447271,14162509,8685285,102257711,0.649748,1.288616,0.130685,2.069048,0.616,4.09
Sky_19,3359654033,191415393,17123371,35288196,24100585,114903241,0.89384,3.349527,0.146846,4.390214,1.307,5.7
Sky_2,3359649633,150259963,12330279,20055923,12419352,105454409,0.643641,1.831606,0.134771,2.610017,0.777,4.47
Sky_20,3359639755,160788137,14947348,22357573,14718195,108765021,0.780252,2.091073,0.139002,3.010327,0.896,4.79
Sky_21,3359634318,171770614,29786569,17365594,12103713,112514738,1.554859,1.662069,0.143794,3.360722,1.0,5.11
Sky_22,3359639150,170808583,13825312,26173242,19289282,111520747,0.721681,2.564086,0.142524,3.428291,1.02,5.08
Sky_23,3359660359,199775914,14315587,34633898,27667326,123159103,0.747274,3.513789,0.157397,4.41846,1.315,5.95
Sky_24,3359634774,186802636,27065812,24922555,17857123,116957146,1.412835,2.412774,0.149471,3.97508,1.183,5.56
Sky_25,3359637694,150097394,14867766,18356412,11554658,105318558,0.776097,1.686984,0.134597,2.597679,0.773,4.47
Sky_26,3359650980,141343329,11999789,16211452,10373745,102758343,0.626389,1.499405,0.131325,2.257119,0.672,4.21
Sky_27,3359637995,152819152,16849194,17883457,11894872,106191629,0.879528,1.679498,0.135713,2.694739,0.802,4.55
Sky_28,3359645126,157398681,14753448,21480669,14119242,107045322,0.77013,2.007835,0.136804,2.914769,0.868,4.68
Sky_29,3359643052,148771407,14168563,18006510,11604701,104991633,0.739599,1.670072,0.134179,2.543851,0.757,4.43
Sky_3,3359636235,151927216,12081190,20804514,12338747,106702765,0.630638,1.86928,0.136366,2.636284,0.785,4.52
Sky_30,3359638818,137193265,11802083,14409499,8481267,102500416,0.616069,1.291039,0.130996,2.038103,0.607,4.08
Sky_4,3359641013,150107360,12662046,19686423,12459079,105299812,0.660959,1.813006,0.134573,2.608538,0.776,4.47
Sky_5,3359639880,136041513,11833379,13638029,8296492,102273613,0.617702,1.237107,0.130706,1.985515,0.591,4.05
Sky_6,3359654223,153487554,12362774,22848988,13297073,104978719,0.645337,2.038638,0.134163,2.818137,0.839,4.57
Sky_7,3359663437,168884164,13777735,24036601,18663502,112406326,0.719198,2.408286,0.143655,3.271139,0.974,5.03
Sky_8,3359659618,198402646,17908802,35404863,24029735,121059246,0.934839,3.352111,0.154714,4.441665,1.322,5.91
Sky_9,3359636819,165143654,14410954,25165168,15401689,110165843,0.752252,2.287971,0.140792,3.181014,0.947,4.92
