mote,monitored_us,on_us,tx_us,rx_us,int_us,idle_us,E_tx(J),E_rx(J),E_idle(J),E_total(J),P_avg(mW),RDC(%)
Sky_1,3359653741,218947671,5909612,49114942,40537986,123385131,0.308482,5.056425,0.157686,5.522593,1.644,6.52
Sky_10,3359645249,149881670,13531619,18299515,12196147,105854389,0.706351,1.719955,0.135282,2.561588,0.762,4.46
Sky_11,3359652481,174618191,23986827,24405500,15756955,110468909,1.252112,2.265162,0.141179,3.658454,1.089,5.2
Sky_12,3359652481,197578267,17204511,32441866,26095978,121835912,0.898075,3.301534,0.155706,4.355316,1.296,5.88
Sky_13,3359652481,206344547,19954067,36910823,29185471,120294186,1.041602,3.727831,0.153736,4.923169,1.465,6.14
Sky_14,3359653496,197768612,19508254,36481488,24640985,117137885,1.018331,3.447307,0.149702,4.615341,1.374,5.89
Sky_15,3359637967,166852072,18402601,23141296,15533322,109774853,0.960616,2.181248,0.140292,3.282156,0.977,4.97
Sky_16,3359652481,173726482,24103267,23377722,15219231,111026262,1.258191,2.176868,0.141892,3.57695,1.065,5.17
Sky_17,3359652481,185589951,17535219,29594270,22061609,116398853,0.915338,2.913392,0.148758,3.977488,1.184,5.52
Sky_18,3359645249,136287344,12484058,13200559,7992046,102610681,0.651668,1.195263,0.131136,1.978067,0.589,4.06
Sky_19,3359652481,192960261,15771106,36942697,25797097,114449361,0.823252,3.538524,0.146266,4.508042,1.342,5.74
Sky_2,3359648700,149847989,12734481,20244204,12334749,104534555,0.66474,1.837453,0.133595,2.635788,0.785,4.46
Sky_20,3359639230,185974076,32257718,22672869,15388281,115655208,1.683853,2.146649,0.147807,3.978309,1.184,5.54
Sky_21,3359652481,163667085,21452826,17761754,15398753,109053752,1.119838,1.870253,0.139371,3.129461,0.931,4.87
Sky_22,3359653855,197230181,22838461,32984841,22975503,118431376,1.192168,3.156163,0.151355,4.499686,1.339,5.87
Sky_23,3359652737,191799937,10845176,39603706,28059394,113291661,0.566118,3.816199,0.144787,4.527104,1.347,5.71
Sky_24,3359652481,184242273,22056913,27722890,20047598,114414872,1.151371,2.694256,0.146222,3.991849,1.188,5.48
Sky_25,3359652934,155680562,14166550,22826011,13335918,105352083,0.739494,2.039533,0.13464,2.913667,0.867,4.63
Sky_26,3359652481,143276119,12487481,13655024,11489508,105644106,0.651847,1.418152,0.135013,2.205011,0.656,4.26
Sky_27,3359652481,158198545,15094553,20798018,15475575,106830399,0.787936,2.045831,0.136529,2.970296,0.884,4.71
Sky_28,3359652481,158091651,15052077,19943514,14009709,109086351,0.785718,1.914962,0.139412,2.840093,0.845,4.71
Sky_29,3359652481,157202816,15607681,21858463,14190964,105545708,0.814721,2.033188,0.134887,2.982796,0.888,4.68
Sky_3,3359645378,154636017,10737172,23475810,14084901,106338134,0.56048,2.118424,0.1359,2.814805,0.838,4.6
Sky_30,3359635914,139052912,13275238,13697003,8947213,103133458,0.692967,1.277134,0.131805,2.101906,0.626,4.14
Sky_4,3359645249,147146702,12267279,19423765,11039107,104416551,0.640352,1.718106,0.133444,2.491902,0.742,4.38
Sky_5,3359647231,136393306,12207716,13925952,8067533,102192105,0.637243,1.240433,0.130602,2.008277,0.598,4.06
Sky_6,3359647427,151154715,12842535,20869734,12576249,104866197,0.67038,1.886353,0.134019,2.690753,0.801,4.5
Sky_7,3359645249,175435295,20067571,25014919,17858280,112494525,1.047527,2.418048,0.143768,3.609344,1.074,5.22
Sky_8,3359645249,170592571,9709908,30303254,19159860,111419549,0.506857,2.78972,0.142394,3.438971,1.024,5.08
Sky_9,3359647211,181189565,21329953,27580260,16934248,115345104,1.113424,2.510618,0.147411,3.771453,1.123,5.39
