mote,monitored_us,on_us,tx_us,rx_us,int_us,idle_us,E_tx(J),E_rx(J),E_idle(J),E_total(J),P_avg(mW),RDC(%)
Sky_1,3359688429,230817197,6994792,51367491,45678439,126776475,0.365128,5.47339,0.16202,6.000539,1.786,6.87
Sky_10,3359675635,155553407,13098772,23184365,13662098,105608172,0.683756,2.078141,0.134967,2.896864,0.862,4.63
Sky_11,3359691400,164877162,15497764,23893650,16497256,108988492,0.808983,2.278047,0.139287,3.226318,0.96,4.91
Sky_12,3359696716,197677829,23112312,31059776,23223856,120281885,1.206463,3.061597,0.15372,4.42178,1.316,5.88
Sky_13,3359692506,213316686,15745792,38862657,32746537,125961700,0.82193,4.038759,0.160979,5.021668,1.495,6.35
Sky_14,3359684268,205161529,22384019,36698115,26416864,119662531,1.168446,3.559685,0.152929,4.881059,1.453,6.11
Sky_15,3359681166,169475939,14981033,26948427,18541868,109004611,0.78201,2.565653,0.139308,3.48697,1.038,5.04
Sky_16,3359692126,184741294,27537428,23096445,18190740,115916681,1.437454,2.328597,0.148142,3.914192,1.165,5.5
Sky_17,3359673543,184805642,12542636,33330979,26185531,112746496,0.654726,3.356731,0.14409,4.155547,1.237,5.5
Sky_18,3359693050,140359462,14080690,13182280,8691343,104405149,0.735012,1.233672,0.13343,2.102114,0.626,4.18
Sky_19,3359677733,193585991,16300394,36569577,26265285,114450735,0.850881,3.543886,0.146268,4.541035,1.352,5.76
Sky_2,3359676769,154871869,13232824,22234304,14066482,105338259,0.690753,2.047364,0.134622,2.87274,0.855,4.61
Sky_20,3359685722,171919456,13232414,29528700,20740160,108418182,0.690732,2.835164,0.138558,3.664454,1.091,5.12
Sky_21,3359697899,168203978,26941587,17908124,12627322,110726945,1.406351,1.722199,0.141509,3.270059,0.973,5.01
Sky_22,3359681943,181409074,14588407,31045559,25609091,110166017,0.761515,3.195322,0.140792,4.097629,1.22,5.4
Sky_23,3359696346,187461799,14631428,29661567,25342025,117826779,0.763761,3.102203,0.150583,4.016546,1.196,5.58
Sky_24,3359689277,209061882,31620655,32746413,21786712,122908102,1.650598,3.075668,0.157077,4.883343,1.454,6.22
Sky_25,3359674313,153510767,14287687,20453970,13239936,105529174,0.745817,1.900336,0.134866,2.78102,0.828,4.57
Sky_26,3359698591,141620321,13866194,14590053,9754424,103409650,0.723815,1.373029,0.132158,2.229001,0.663,4.22
Sky_27,3359684637,178876478,26736108,23269258,17500828,111370284,1.395625,2.299433,0.142331,3.837389,1.142,5.32
Sky_28,3359669847,172380201,20824558,23794961,15831965,111928717,1.087042,2.234959,0.143045,3.465045,1.031,5.13
Sky_29,3359678043,163169636,19930643,22242833,13117542,107878618,1.04038,1.994325,0.137869,3.172574,0.944,4.86
Sky_3,3359671150,157611311,10965687,24542105,14657226,107446293,0.572409,2.210842,0.137316,2.920567,0.869,4.69
Sky_30,3359681096,145717604,13811227,17851776,10595533,103459068,0.720946,1.604428,0.132221,2.457595,0.731,4.34
Sky_4,3359669625,150791579,12347961,20406697,12244543,105792378,0.644564,1.84153,0.135203,2.621296,0.78,4.49
Sky_5,3359691615,145161277,13309884,14851156,11107019,105893218,0.694776,1.464041,0.135332,2.294149,0.683,4.32
Sky_6,3359697922,147334266,12772916,18504739,11351328,104705283,0.666746,1.683882,0.133813,2.484442,0.739,4.39
Sky_7,3359679478,176621662,16531412,28798939,20132049,111159262,0.86294,2.759708,0.142062,3.764709,1.121,5.26
Sky_8,3359691413,188140495,10494389,35046842,25031911,117567353,0.547807,3.388442,0.150251,4.0865,1.216,5.6
Sky_9,3359678029,217639900,45684310,29045823,16426716,126483051,2.384721,2.564651,0.161645,5.111018,1.521,6.48
