node,prr_parent(last),prr_sender(last),prr_all_nei_avg,ul_sent,ul_recv,ul_attempts,ul_sent_count,PDR_UL(%),PDR_UL_attempts(%),PDR_UL_sent(%),ul_received,dl_sent,dl_recv,dl_attempts,dl_sent_count,PDR_DL(%),PDR_DL_attempts(%),PDR_DL_sent(%),PDR_DL_CSV_last(%),dl_received,UL_delay_samples,UL_delay_ticks_avg,UL_delay_ms_avg,DL_delay_samples,DL_delay_ticks_avg,DL_delay_ms_avg
02:00,,100.0,100.0,119,119,119,119,100.0,100.0,100.0,1,0,0,0,0,,,,,0,119,127.2,993.76,0,,
03:00,,100.0,100.0,119,119,119,119,100.0,100.0,100.0,1,0,0,0,0,,,,,0,119,69.49,542.87,0,,
04:00,7.69,99.15,74.16,119,118,119,119,99.16,99.16,99.16,1,3,3,3,3,100.0,100.0,100.0,7.69,1,118,43.52,339.98,3,1.67,13.02
05:00,,99.15,99.68,119,118,119,119,99.16,99.16,99.16,1,0,0,0,0,,,,,0,118,109.38,854.54,0,,
06:00,,98.3,99.19,119,117,119,119,98.32,98.32,98.32,1,0,0,0,0,,,,,0,117,83.9,655.45,0,,
07:00,7.69,100.0,75.71,119,119,119,119,100.0,100.0,100.0,1,3,3,3,3,100.0,100.0,100.0,7.69,1,119,72.71,568.08,3,0.0,0.0
08:00,100.0,100.0,100.0,119,119,119,119,100.0,100.0,100.0,1,3,1,3,3,33.33,33.33,33.33,100.0,1,119,51.16,399.68,1,0.0,0.0
09:00,7.69,99.15,76.51,119,118,119,119,99.16,99.16,99.16,1,3,3,3,3,100.0,100.0,100.0,7.69,1,118,115.69,903.87,3,0.0,0.0
10:00,,100.0,100.0,119,119,119,119,100.0,100.0,100.0,1,0,0,3,0,,0.0,,,0,119,72.87,569.26,0,,
11:00,,97.45,94.11,119,116,119,119,97.48,97.48,97.48,1,0,0,3,0,,0.0,,,0,116,120.51,941.47,0,,
12:00,7.69,100.0,78.37,119,119,119,119,100.0,100.0,100.0,1,3,3,3,3,100.0,100.0,100.0,7.69,1,119,79.89,624.15,3,0.0,0.0
13:00,,99.15,99.15,119,118,119,119,99.16,99.16,99.16,1,0,0,3,0,,0.0,,,0,118,17.86,139.5,0,,
14:00,7.69,100.0,79.37,119,119,119,119,100.0,100.0,100.0,1,3,3,3,3,100.0,100.0,100.0,7.69,1,119,26.5,207.0,3,2.0,15.62
15:00,100.0,100.0,100.0,119,119,119,119,100.0,100.0,100.0,1,3,1,3,3,33.33,33.33,33.33,100.0,1,119,77.59,606.16,1,0.0,0.0
16:00,7.69,99.15,79.8,119,118,119,119,99.16,99.16,99.16,1,3,3,3,3,100.0,100.0,100.0,7.69,1,118,30.99,242.12,3,14.0,109.38
17:00,10.0,100.0,81.12,119,119,119,119,100.0,100.0,100.0,1,3,3,3,3,100.0,100.0,100.0,10.0,1,119,85.86,670.76,3,0.0,0.0
18:00,10.0,98.3,80.5,119,117,119,119,98.32,98.32,98.32,1,2,2,2,2,100.0,100.0,100.0,10.0,1,117,108.78,849.83,2,0.0,0.0
19:00,10.0,100.0,82.18,119,119,119,119,100.0,100.0,100.0,1,2,2,2,2,100.0,100.0,100.0,10.0,1,119,133.91,1046.15,2,0.0,0.0
20:00,,98.3,99.0,119,117,119,119,98.32,98.32,98.32,1,0,0,2,0,,0.0,,,0,117,17.01,132.88,0,,
21:00,,97.45,98.44,119,116,119,119,97.48,97.48,97.48,1,2,0,2,2,0.0,0.0,0.0,,0,116,81.83,639.28,0,,
22:00,100.0,100.0,100.0,119,119,119,119,100.0,100.0,100.0,1,2,1,2,2,50.0,50.0,50.0,100.0,1,119,15.73,122.9,1,5.0,39.06
23:00,10.0,100.0,83.93,119,119,119,119,100.0,100.0,100.0,1,2,2,2,2,100.0,100.0,100.0,10.0,1,119,82.12,641.54,2,0.0,0.0
24:00,10.0,100.0,84.77,119,119,119,119,100.0,100.0,100.0,1,2,2,2,2,100.0,100.0,100.0,10.0,1,119,88.65,692.56,2,0.0,0.0
25:00,,100.0,100.0,119,119,119,119,100.0,100.0,100.0,1,0,0,2,0,,0.0,,,0,119,23.87,186.52,0,,
26:00,100.0,100.0,100.0,119,119,119,119,100.0,100.0,100.0,1,2,1,2,2,50.0,50.0,50.0,100.0,1,119,42.65,333.18,1,7.0,54.69
27:00,,100.0,100.0,119,119,119,119,100.0,100.0,100.0,1,0,0,2,0,,0.0,,,0,119,54.39,424.96,0,,
28:00,10.0,98.3,86.83,119,117,119,119,98.32,98.32,98.32,1,2,2,2,2,100.0,100.0,100.0,10.0,1,117,101.64,794.07,2,0.0,0.0
29:00,100.0,98.3,97.91,119,117,119,119,98.32,98.32,98.32,1,2,1,2,2,50.0,50.0,50.0,100.0,1,117,20.26,158.32,1,8.0,62.5
30:00,,99.15,98.62,119,118,119,119,99.16,99.16,99.16,1,2,0,2,2,0.0,0.0,0.0,,0,118,91.01,711.0,0,,
