mote,monitored_us,on_us,tx_us,rx_us,int_us,idle_us,E_tx(J),E_rx(J),E_idle(J),E_total(J),P_avg(mW),RDC(%)
Sky_1,3359685167,235644832,7058559,34180938,29889801,164515534,0.368457,3.61359,0.210251,4.192297,1.248,7.01
Sky_10,3359672007,131972472,12758034,9288607,3939984,105985847,0.665969,0.746093,0.13545,1.547512,0.461,3.93
Sky_11,3359687772,135632517,10693089,10871831,5329659,108737938,0.558179,0.913764,0.138967,1.61091,0.479,4.04
Sky_12,3359693088,168217607,31390797,11486745,6270642,119069423,1.6386,1.001517,0.152171,2.792287,0.831,5.01
Sky_13,3359688882,146737409,12611471,13005599,11896529,109223810,0.658319,1.40448,0.139588,2.202387,0.656,4.37
Sky_14,3359680640,168746261,29379863,13541016,7558229,118267153,1.533629,1.189997,0.151145,2.874772,0.856,5.02
Sky_15,3359677542,133563597,10271162,11843457,5290813,106158165,0.536155,0.966373,0.13567,1.638198,0.488,3.98
Sky_16,3359688247,138769497,11096165,10947064,6688862,110037406,0.57922,0.994666,0.140628,1.714514,0.51,4.13
Sky_17,3359700914,156032232,21676517,13463736,7620976,113271003,1.131514,1.189178,0.14476,2.465452,0.734,4.64
Sky_18,3359689171,125312549,13293041,5172965,2402450,104444093,0.693897,0.427253,0.13348,1.25463,0.373,3.73
Sky_19,3359673857,153045199,18228742,14477786,8398425,111940246,0.95154,1.290218,0.14306,2.384818,0.71,4.56
Sky_2,3359673507,129253550,11216565,9128838,3767589,105140558,0.585505,0.727358,0.13437,1.447233,0.431,3.85
Sky_20,3359681843,139290594,13020090,12577213,6332812,107360479,0.679649,1.066525,0.137207,1.883381,0.561,4.15
Sky_21,3359694020,129175282,11494012,8825802,3435568,105419900,0.599987,0.691541,0.134727,1.426255,0.425,3.84
Sky_22,3359678064,165321752,30019695,11667588,5845697,117788772,1.567028,0.987749,0.150534,2.705311,0.805,4.92
Sky_23,3359692467,152950912,21363788,11265746,7431888,112889490,1.11519,1.054547,0.144273,2.314009,0.689,4.55
Sky_24,3359685398,157464989,24878848,11606106,6289355,114690680,1.298676,1.009304,0.146575,2.454555,0.731,4.69
Sky_25,3359701249,129724154,11467079,9114390,3888059,105254626,0.598582,0.733338,0.134515,1.466435,0.436,3.86
Sky_26,3359695148,117150661,7440355,6176453,2108769,101425084,0.388387,0.467287,0.129621,0.985294,0.293,3.49
Sky_27,3359680728,132930003,11010973,11176776,4876666,105865588,0.574773,0.905414,0.135296,1.615483,0.481,3.96
Sky_28,3359697218,131714321,11316523,9703175,5072914,105621709,0.590723,0.833371,0.134985,1.559078,0.464,3.92
Sky_29,3359674164,130311333,11201206,9075526,4372105,105662496,0.584703,0.758446,0.135037,1.478186,0.44,3.88
Sky_3,3359699108,124545971,8394390,8372882,4932592,102846107,0.438187,0.750429,0.131437,1.320053,0.393,3.71
Sky_30,3359677186,117301524,7733682,6287655,2228158,101052029,0.403698,0.480292,0.129144,1.013135,0.302,3.49
Sky_4,3359697613,128475135,11654646,8386787,3698088,104735614,0.608373,0.681587,0.133852,1.423812,0.424,3.82
Sky_5,3359688322,124091852,13330100,4600035,1672630,104489087,0.695831,0.353778,0.133537,1.183147,0.352,3.69
Sky_6,3359694660,125132216,8553833,9089342,3777045,103711996,0.44651,0.725664,0.132544,1.304718,0.388,3.72
Sky_7,3359676216,150877815,16690110,15235389,7213337,111738979,0.871224,1.266108,0.142802,2.280134,0.679,4.49
Sky_8,3359688151,172509471,29224618,13847787,10342404,119094662,1.525525,1.364327,0.152203,3.042055,0.905,5.13
Sky_9,3359674767,148825414,14431656,16158785,7556054,110678919,0.753332,1.337517,0.141448,2.232297,0.664,4.43
