node,prr_parent(last),prr_sender(last),prr_all_nei_avg,ul_sent,ul_recv,ul_attempts,ul_sent_count,PDR_UL(%),PDR_UL_attempts(%),PDR_UL_sent(%),ul_received,dl_sent,dl_recv,dl_attempts,dl_sent_count,PDR_DL(%),PDR_DL_attempts(%),PDR_DL_sent(%),PDR_DL_CSV_last(%),dl_received,UL_delay_samples,UL_delay_ticks_avg,UL_delay_ms_avg,DL_delay_samples,DL_delay_ticks_avg,DL_delay_ms_avg
01:00,,,68.36,0,0,0,0,,,,0,0,0,0,0,,,,,0,0,,,0,,
02:00,94.0,96.0,91.59,119,114,119,119,95.8,95.8,95.8,1,3,3,3,3,100.0,100.0,100.0,100.0,1,114,141.44,1104.99,3,0.0,0.0
03:00,97.0,85.0,87.14,119,115,119,119,96.64,96.64,96.64,1,3,3,3,3,100.0,100.0,100.0,100.0,1,115,88.67,692.73,3,0.0,0.0
04:00,90.0,90.0,90.49,119,113,119,119,94.96,94.96,94.96,1,3,3,3,3,100.0,100.0,100.0,100.0,1,113,58.16,454.37,3,35.33,276.04
05:00,98.0,98.0,97.13,119,112,119,119,94.12,94.12,94.12,1,3,3,3,3,100.0,100.0,100.0,100.0,1,112,134.25,1048.83,3,3.0,23.44
06:00,94.0,96.0,91.37,119,114,119,119,95.8,95.8,95.8,1,3,3,3,3,100.0,100.0,100.0,100.0,1,114,96.93,757.26,3,0.0,0.0
07:00,78.0,90.0,82.9,119,116,119,119,97.48,97.48,97.48,1,3,3,3,3,100.0,100.0,100.0,100.0,1,116,101.09,789.74,3,0.0,0.0
08:00,85.0,85.0,82.05,119,118,119,119,99.16,99.16,99.16,1,3,3,3,3,100.0,100.0,100.0,100.0,1,118,68.88,538.14,3,1.67,13.02
09:00,79.0,86.0,84.01,119,114,119,119,95.8,95.8,95.8,1,3,3,3,3,100.0,100.0,100.0,100.0,1,114,137.58,1074.84,3,0.0,0.0
10:00,94.0,88.0,92.93,119,116,119,119,97.48,97.48,97.48,1,3,3,3,3,100.0,100.0,100.0,100.0,1,116,83.21,650.05,3,0.0,0.0
11:00,92.0,99.0,92.1,119,119,119,119,100.0,100.0,100.0,1,3,3,3,3,100.0,100.0,100.0,100.0,1,119,126.1,985.16,3,0.0,0.0
12:00,99.0,64.0,87.33,119,114,119,119,95.8,95.8,95.8,1,3,3,3,3,100.0,100.0,100.0,100.0,1,114,101.57,793.52,3,52.33,408.85
13:00,100.0,85.0,84.05,119,114,119,119,95.8,95.8,95.8,1,3,3,3,3,100.0,100.0,100.0,100.0,1,114,35.45,276.93,3,10.33,80.73
14:00,99.0,69.0,84.79,119,115,119,119,96.64,96.64,96.64,1,3,3,3,3,100.0,100.0,100.0,100.0,1,115,43.93,343.21,3,38.0,296.88
15:00,98.0,98.0,91.01,119,115,119,119,96.64,96.64,96.64,1,3,3,3,3,100.0,100.0,100.0,100.0,1,115,87.43,683.08,3,0.0,0.0
16:00,89.0,89.0,90.86,119,114,119,119,95.8,95.8,95.8,1,3,3,3,3,100.0,100.0,100.0,100.0,1,114,45.97,359.17,3,14.67,114.58
17:00,99.0,69.0,82.92,119,110,119,119,92.44,92.44,92.44,1,3,3,3,3,100.0,100.0,100.0,100.0,1,110,106.2,829.69,3,0.0,0.0
18:00,97.0,96.0,96.26,119,116,119,119,97.48,97.48,97.48,1,3,3,3,3,100.0,100.0,100.0,100.0,1,117,125.84,983.11,3,4.33,33.85
19:00,99.0,70.0,81.43,119,116,119,119,97.48,97.48,97.48,1,2,2,2,2,100.0,100.0,100.0,100.0,1,116,154.34,1205.82,2,0.0,0.0
20:00,97.0,88.0,86.61,119,116,119,119,97.48,97.48,97.48,1,2,2,2,2,100.0,100.0,100.0,100.0,1,116,42.55,332.44,2,21.0,164.06
21:00,89.0,96.0,91.14,119,113,119,119,94.96,94.96,94.96,1,2,2,2,2,100.0,100.0,100.0,100.0,1,113,98.53,769.77,2,13.0,101.56
22:00,99.0,87.0,84.96,119,116,119,119,97.48,97.48,97.48,1,2,2,2,2,100.0,100.0,100.0,100.0,1,116,38.48,300.65,2,40.0,312.5
23:00,100.0,75.0,84.08,119,118,119,119,99.16,99.16,99.16,1,2,2,2,2,100.0,100.0,100.0,100.0,1,118,98.78,771.72,2,0.0,0.0
24:00,100.0,85.0,85.3,119,113,119,119,94.96,94.96,94.96,1,2,2,2,2,100.0,100.0,100.0,100.0,1,113,96.28,752.21,2,0.0,0.0
25:00,89.0,99.0,90.33,119,118,119,119,99.16,99.16,99.16,1,2,2,2,2,100.0,100.0,100.0,100.0,1,118,44.31,346.2,2,60.5,472.66
26:00,99.0,98.0,97.13,119,111,119,119,93.28,93.28,93.28,1,2,2,2,2,100.0,100.0,100.0,100.0,1,111,50.95,398.09,2,56.0,437.5
27:00,90.0,99.0,91.15,119,109,119,119,91.6,91.6,91.6,1,2,2,2,2,100.0,100.0,100.0,100.0,1,109,73.19,571.82,2,0.0,0.0
28:00,98.0,88.0,89.46,119,114,119,119,95.8,95.8,95.8,1,2,2,2,2,100.0,100.0,100.0,100.0,1,114,123.92,968.13,2,0.0,0.0
29:00,98.0,98.0,88.25,119,114,119,119,95.8,95.8,95.8,1,2,2,2,2,100.0,100.0,100.0,100.0,1,114,39.44,308.11,2,20.0,156.25
30:00,99.0,96.0,97.03,119,113,119,119,94.96,94.96,94.96,1,2,2,2,2,100.0,100.0,100.0,100.0,1,113,98.04,765.9,2,81.0,632.81
