mote,monitored_us,on_us,tx_us,rx_us,int_us,idle_us,E_tx(J),E_rx(J),E_idle(J),E_total(J),P_avg(mW),RDC(%)
Sky_1,3359676633.5,234348769.95,7096086.7,33926155.7,29290431.7,164036095.85,0.37,3.57,0.21,4.15,1.23,6.97
Sky_10,3359672339.15,128048880.95,10138475.85,8969610.4,3999882.6,104940912.1,0.53,0.73,0.13,1.39,0.42,3.81
Sky_11,3359675533.55,131722520.35,11301389.65,10015279.0,4305339.9,106100511.8,0.59,0.81,0.14,1.53,0.46,3.92
Sky_12,3359678283.8,164695405.95,26082314.3,13865523.85,7680681.8,117066886.0,1.36,1.22,0.15,2.73,0.81,4.9
Sky_13,3359674608.7,151192511.55,13850278.15,16622927.7,10558322.55,110160983.15,0.72,1.53,0.14,2.4,0.71,4.5
Sky_14,3359675638.4,163831840.3,25034530.9,14671803.25,7812148.55,116313357.6,1.31,1.27,0.15,2.72,0.81,4.88
Sky_15,3359675750.4,131945008.0,11436360.5,9878615.85,4424043.95,106205987.7,0.6,0.81,0.14,1.54,0.46,3.93
Sky_16,3359676482.15,136325686.3,12051713.85,11782507.9,5614645.95,106876818.6,0.63,0.98,0.14,1.75,0.52,4.06
Sky_17,3359675857.05,154571495.85,20053634.35,13364022.15,8122690.5,113031148.85,1.05,1.21,0.14,2.4,0.72,4.6
Sky_18,3359674977.1,123798668.1,13251699.95,4322245.9,2167280.1,104057442.15,0.69,0.37,0.13,1.19,0.35,3.68
Sky_19,3359676417.05,155471821.25,20766264.1,13306222.15,8089542.1,113309792.9,1.08,1.21,0.14,2.44,0.72,4.63
Sky_2,3359675308.35,132465930.0,11975129.25,9765240.7,4375375.55,106350184.5,0.63,0.8,0.14,1.56,0.46,3.94
Sky_20,3359674234.3,136027808.05,12476119.95,11215169.2,5701251.45,106635267.45,0.65,0.95,0.14,1.74,0.52,4.05
Sky_21,3359678621.95,131805289.15,11493369.4,9845662.25,4260917.25,106205340.25,0.6,0.8,0.14,1.53,0.46,3.92
Sky_22,3359675625.05,164168667.7,29303484.25,11300369.3,5972137.2,117592676.95,1.53,0.97,0.15,2.65,0.79,4.89
Sky_23,3359675446.95,155865897.6,19860663.7,13961033.8,9011455.6,113032744.5,1.04,1.3,0.14,2.48,0.74,4.64
Sky_24,3359674343.45,159326545.3,26428787.85,11117412.7,5841288.15,115939056.6,1.38,0.96,0.15,2.48,0.74,4.74
Sky_25,3359676665.85,131112400.6,11399839.4,9635794.05,4227794.25,105848972.9,0.6,0.78,0.14,1.51,0.45,3.9
Sky_26,3359676438.8,118785869.25,8009747.6,6442727.1,2491187.5,101842207.05,0.42,0.5,0.13,1.05,0.31,3.54
Sky_27,3359673807.35,131661162.95,11728100.45,9669176.85,4166876.35,106097009.3,0.61,0.78,0.14,1.53,0.45,3.92
Sky_28,3359676099.0,135586335.25,11981997.2,11119075.7,5612605.35,106872657.0,0.63,0.94,0.14,1.71,0.51,4.04
Sky_29,3359674979.45,130005730.45,11388582.3,9222131.1,3913589.1,105481427.95,0.59,0.74,0.13,1.47,0.44,3.87
Sky_3,3359678655.8,127244235.7,8100568.85,10240519.85,5426876.05,103476270.95,0.42,0.88,0.13,1.44,0.43,3.79
Sky_30,3359675613.65,118205171.0,8016473.95,6213455.95,2330844.4,101644396.7,0.42,0.48,0.13,1.03,0.31,3.52
Sky_4,3359675680.25,130587661.05,11523180.0,9427708.2,4132925.9,105503846.95,0.6,0.76,0.13,1.5,0.45,3.89
Sky_5,3359678159.3,123847938.1,13407469.75,4595577.7,1723249.2,104121641.45,0.7,0.36,0.13,1.19,0.35,3.69
Sky_6,3359676781.95,127635156.85,9834908.2,9165751.1,4011525.3,104622972.25,0.51,0.74,0.13,1.39,0.41,3.8
Sky_7,3359677234.7,147284001.45,14452527.5,14168319.35,7510158.45,111152996.15,0.75,1.22,0.14,2.12,0.63,4.38
Sky_8,3359675026.4,181161066.15,35739960.5,13963903.9,8792265.8,122664935.95,1.87,1.28,0.16,3.31,0.98,5.39
Sky_9,3359673549.55,147796420.35,14868226.55,14647114.6,7266016.25,111015062.95,0.78,1.24,0.14,2.15,0.64,4.4
AVG,3359675826.4316664,143550863.18333334,15101729.498333333,11548035.241666667,6294444.96,110606653.48333332,0.7886666666666667,1.0063333333333333,0.1413333333333333,1.936,0.5760000000000001,4.273
