mote,monitored_us,on_us,tx_us,rx_us,int_us,idle_us,E_tx(J),E_rx(J),E_idle(J),E_total(J),P_avg(mW),RDC(%)
Sky_1,3359704076,179874884,8663918,29848338,26460317,114902311,0.452257,3.175808,0.146845,3.77491,1.124,5.35
Sky_10,3359701031,171497620,38417480,13534929,8333736,111211475,2.005392,1.233393,0.142128,3.380913,1.006,5.1
Sky_11,3359691587,181287492,33051732,19158030,14325718,114752012,1.7253,1.888483,0.146653,3.760437,1.119,5.4
Sky_12,3359706666,147370850,21392321,12322670,8437746,105218113,1.116679,1.170887,0.134469,2.422035,0.721,4.39
Sky_13,3359686422,131312054,14210828,9005792,5648498,102446936,0.741805,0.826502,0.130927,1.699234,0.506,3.91
Sky_14,3359703337,141387484,12381264,15300540,11055899,102649781,0.646302,1.486503,0.131186,2.263992,0.674,4.21
Sky_15,3359701347,129131471,14238871,8577963,5107699,101206938,0.743269,0.771871,0.129342,1.644483,0.489,3.84
Sky_2,3359706106,142311044,13219785,15944008,10609366,102537885,0.690073,1.49761,0.131043,2.318726,0.69,4.24
Sky_3,3359705551,133364649,16280803,10198396,5374110,101511340,0.849858,0.878289,0.129731,1.857879,0.553,3.97
Sky_4,3359704657,153654239,23620872,15014643,8508965,106509759,1.23301,1.326731,0.136119,2.69586,0.802,4.57
Sky_5,3359704657,188842935,39092104,19233640,13483781,117033410,2.040608,1.845263,0.149569,4.035439,1.201,5.62
Sky_6,3359708317,155652451,26813939,12708677,8628149,107501686,1.399688,1.203397,0.137387,2.740472,0.816,4.63
Sky_7,3359710166,153130450,24898350,11362701,10099805,106769594,1.299694,1.210485,0.136452,2.646631,0.788,4.56
Sky_8,3359704657,133427651,16438349,9013184,5868598,102107520,0.858082,0.839333,0.130493,1.827908,0.544,3.97
Sky_9,3359696425,161691718,28568475,14263161,11366832,107493250,1.491274,1.445532,0.137376,3.074182,0.915,4.81
