mote,monitored_us,on_us,tx_us,rx_us,int_us,idle_us,E_tx(J),E_rx(J),E_idle(J),E_total(J),P_avg(mW),RDC(%)
Sky_1,3359685193,176587916,8165340,30436327,23589108,114397141,0.426231,3.047035,0.1462,3.619465,1.077,5.26
Sky_10,3359688464,162689839,31605827,12341183,8777785,109965044,1.649824,1.19111,0.140535,2.981469,0.887,4.84
Sky_11,3359693321,178810288,33465996,17026170,13109174,115208948,1.746925,1.699633,0.147237,3.593795,1.07,5.32
Sky_12,3359706545,139690042,16902411,11728370,7687351,103371910,0.882306,1.095047,0.132109,2.109462,0.628,4.16
Sky_13,3359700649,131150519,15263989,9144128,5158201,101584201,0.79678,0.806651,0.129825,1.733256,0.516,3.9
Sky_14,3359712934,141970094,14243598,14859526,9780056,103086914,0.743516,1.389672,0.131745,2.264933,0.674,4.23
Sky_15,3359687532,131986378,15060441,8783239,5680103,102462595,0.786155,0.815732,0.130947,1.732835,0.516,3.93
Sky_2,3359700347,139049767,12820476,13987763,9643171,102598357,0.669229,1.332785,0.131121,2.133134,0.635,4.14
Sky_3,3359697611,135542355,18015995,8951219,5588785,102986356,0.940435,0.820056,0.131617,1.892108,0.563,4.03
Sky_4,3359699613,151729621,24816373,12394224,7838327,106680697,1.295415,1.141116,0.136338,2.572868,0.766,4.52
Sky_5,3359700897,183812945,35336045,18714015,14017755,115745130,1.844542,1.846072,0.147922,3.838536,1.143,5.47
Sky_6,3359709585,149636995,23723028,12657696,7343500,105912771,1.238342,1.128067,0.135357,2.501766,0.745,4.45
Sky_7,3359689521,156720580,24905744,12132989,13217031,106464816,1.30008,1.429741,0.136062,2.865883,0.853,4.66
Sky_8,3359686621,134552968,16545992,9114886,6199874,102692216,0.863701,0.863752,0.131241,1.858694,0.553,4.0
Sky_9,3359702671,153961026,25989460,12672903,8668176,106630487,1.35665,1.203637,0.136274,2.69656,0.803,4.58
