mote,monitored_us,on_us,tx_us,rx_us,int_us,idle_us,E_tx(J),E_rx(J),E_idle(J),E_total(J),P_avg(mW),RDC(%)
Sky_1,3359573669,177865164,8652419,29244201,24876143,115092401,0.451656,3.052387,0.147088,3.651132,1.087,5.29
Sky_10,3359575929,158782651,29216172,12696633,8422119,108447727,1.525084,1.191098,0.138596,2.854778,0.85,4.73
Sky_11,3359585136,178208100,33103905,17770137,12304998,115029060,1.728024,1.696238,0.147007,3.571269,1.063,5.3
Sky_12,3359593966,148573118,23181429,11633318,7649456,106108915,1.210071,1.087548,0.135607,2.433226,0.724,4.42
Sky_13,3359589859,129516945,13564181,8775384,5818949,101358431,0.70805,0.82312,0.129536,1.660707,0.494,3.86
Sky_14,3359595031,137582650,13758272,13417282,8432522,101974574,0.718182,1.232329,0.130324,2.080834,0.619,4.1
Sky_15,3359574434,131285782,13872303,10269703,5884483,101259293,0.724134,0.911096,0.129409,1.76464,0.525,3.91
Sky_2,3359569849,142890756,14717917,16016241,9576611,102579987,0.768275,1.443437,0.131097,2.342809,0.697,4.25
Sky_3,3359587572,131769081,15854130,7836864,5665313,102412774,0.827586,0.761523,0.130884,1.719992,0.512,3.92
Sky_4,3359598215,146396134,21221517,12635513,7685862,104853242,1.107763,1.146126,0.134002,2.387891,0.711,4.36
Sky_5,3359581095,179403865,34124081,17515169,12432261,115332354,1.781277,1.689035,0.147395,3.617707,1.077,5.34
Sky_6,3359576738,156053595,26893638,12343394,9113008,107703555,1.403848,1.210141,0.137645,2.751634,0.819,4.65
Sky_7,3359585421,148127613,22103321,12153118,8879783,104991391,1.153793,1.186256,0.134179,2.474228,0.736,4.41
Sky_8,3359580664,130867219,15858345,7427777,5341495,102239602,0.827806,0.720187,0.130662,1.678655,0.5,3.9
Sky_9,3359595524,152544899,23270297,13913427,10024914,105336261,1.21471,1.350122,0.13462,2.699452,0.804,4.54
