mote,monitored_us,on_us,tx_us,rx_us,int_us,idle_us,E_tx(J),E_rx(J),E_idle(J),E_total(J),P_avg(mW),RDC(%)
Sky_1,3359688429,178071405,8479530,30417972,25130693,114043210,0.442631,3.132945,0.145747,3.721323,1.108,5.3
Sky_10,3359696242,159338954,31051656,12339189,6968798,108979311,1.620896,1.08897,0.139276,2.849142,0.848,4.74
Sky_11,3359697022,186257231,36035499,18408119,15834610,115979003,1.881053,1.93129,0.148221,3.960564,1.179,5.54
Sky_12,3359696280,147646846,22649977,11066774,7815446,106114649,1.182329,1.064957,0.135615,2.382901,0.709,4.39
Sky_13,3359696242,135847495,16281370,7845373,7210213,104510539,0.849888,0.849135,0.133564,1.832587,0.545,4.04
Sky_14,3359698669,140857918,12764635,14548940,10992576,102551767,0.666314,1.440542,0.131061,2.237917,0.666,4.19
Sky_15,3359696242,136347308,18015708,9599190,6053434,102678976,0.94042,0.882808,0.131224,1.954452,0.582,4.06
Sky_2,3359676769,137032630,12708642,13604111,8914300,101805577,0.663391,1.270038,0.130108,2.063537,0.614,4.08
Sky_3,3359671150,127507842,14619295,7572599,4114432,101201516,0.763127,0.659149,0.129336,1.551611,0.462,3.8
Sky_4,3359669625,162471576,34357026,11496761,6550103,110067686,1.793437,1.017843,0.140667,2.951946,0.879,4.84
Sky_5,3359691615,184970149,34821573,19007643,15881730,115259203,1.817686,1.967761,0.147301,3.932748,1.171,5.51
Sky_6,3359697922,140045067,18059252,10671094,7592059,103722662,0.942693,1.030042,0.132558,2.105292,0.627,4.17
Sky_7,3359679478,154500656,22489042,14529022,12530922,104951670,1.173928,1.526181,0.134128,2.834237,0.844,4.6
Sky_8,3359691413,137554514,15646704,9651256,8232624,104023930,0.816758,1.008651,0.132943,1.958351,0.583,4.09
Sky_9,3359678029,164007875,32473463,12887375,9811509,108835528,1.695115,1.280217,0.139092,3.114424,0.927,4.88
