mote,monitored_us,on_us,tx_us,rx_us,int_us,idle_us,E_tx(J),E_rx(J),E_idle(J),E_total(J),P_avg(mW),RDC(%)
Sky_1,3359650972.35,177957013.4,8476055.75,29920091.4,25050977.1,114509889.15,0.44,3.1,0.15,3.69,1.1,5.3
Sky_10,3359647169.15,159504289.35,30560190.15,12462064.3,7513802.5,108968232.4,1.6,1.13,0.14,2.86,0.85,4.75
Sky_11,3359652135.3,180753274.8,33179409.15,18872335.4,14435465.85,114266064.4,1.73,1.88,0.15,3.76,1.12,5.38
Sky_12,3359649439.9,148791123.75,22630180.2,12553811.0,7849180.9,105757951.65,1.18,1.15,0.14,2.47,0.73,4.43
Sky_13,3359653613.15,131803606.85,14953650.65,9068808.65,5869238.5,101911909.05,0.78,0.84,0.13,1.75,0.52,3.92
Sky_14,3359652029.6,139352190.95,13161900.75,14163369.35,9679000.85,102347920.0,0.69,1.34,0.13,2.16,0.64,4.15
Sky_15,3359652196.85,131063447.5,15308879.65,8552554.65,5390642.2,101811371.0,0.8,0.79,0.13,1.72,0.51,3.9
Sky_2,3359650904.75,140141867.05,13360411.4,14197224.5,9758885.45,102825345.7,0.7,1.35,0.13,2.18,0.65,4.17
Sky_3,3359646662.0,132075626.1,15417056.95,9238156.1,5720896.8,101699516.25,0.8,0.84,0.13,1.78,0.53,3.93
Sky_4,3359649531.7,151037625.15,24674664.75,12190562.6,7537653.45,106634744.35,1.29,1.11,0.14,2.54,0.76,4.5
Sky_5,3359651580.75,181655868.25,34862120.2,18193694.15,13791987.1,114808066.8,1.82,1.8,0.15,3.77,1.12,5.41
Sky_6,3359653304.6,153277171.35,25967547.9,12347428.25,7783794.2,107178401.0,1.36,1.14,0.14,2.63,0.78,4.56
Sky_7,3359650999.0,157594393.55,25713815.85,13489645.5,11534591.25,106856340.95,1.34,1.41,0.14,2.89,0.86,4.69
Sky_8,3359653296.25,132591265.05,15902953.55,8965278.3,5715629.3,102007403.9,0.83,0.83,0.13,1.79,0.53,3.95
Sky_9,3359650320.1,158557343.65,27443080.75,13235748.3,10524298.45,107354216.15,1.43,1.34,0.14,2.91,0.87,4.72
AVG,3359650943.6966662,151743740.44999996,21440794.509999998,13830051.496666668,9877069.593333332,106595824.85000001,1.1193333333333335,1.3366666666666664,0.138,2.5933333333333337,0.7713333333333332,4.517333333333334
