mote,monitored_us,on_us,tx_us,rx_us,int_us,idle_us,E_tx(J),E_rx(J),E_idle(J),E_total(J),P_avg(mW),RDC(%)
Sky_1,3359652096,116281870,3167115,5973243,4427813,102713699,0.165323,0.58662,0.131268,0.883211,0.263,3.46
Sky_10,3359627757,106439696,5046091,2194965,1048345,98150295,0.263406,0.182923,0.125436,0.571765,0.17,3.17
Sky_11,3359644711,115568899,8242685,4602422,2455167,100268625,0.430268,0.398048,0.128143,0.956459,0.285,3.44
Sky_12,3359655197,111700381,7638889,2803604,1670687,99587201,0.39875,0.25235,0.127272,0.778372,0.232,3.32
Sky_13,3359635739,105462966,5316270,1896323,790448,97459925,0.277509,0.151534,0.124554,0.553597,0.165,3.14
Sky_14,3359649864,109782033,4915663,4305576,2286163,98274631,0.256598,0.371774,0.125595,0.753967,0.224,3.27
Sky_15,3359634335,105743096,5317129,2276486,665058,97484423,0.277554,0.165903,0.124585,0.568042,0.169,3.15
Sky_2,3359645438,108636668,4953239,4145131,1652977,97885321,0.258559,0.327013,0.125097,0.71067,0.212,3.23
Sky_3,3359639662,105761088,4718275,2706241,1042503,97294069,0.246294,0.211429,0.124342,0.582065,0.173,3.15
Sky_4,3359630753,107344063,5218539,3027407,1326671,97771446,0.272408,0.24557,0.124952,0.64293,0.191,3.2
Sky_5,3359635104,117378050,10134661,3906085,1923166,101414138,0.529029,0.32877,0.129607,0.987406,0.294,3.49
Sky_6,3359637640,107861115,5353052,3060386,1460663,97987014,0.279429,0.254987,0.125227,0.659644,0.196,3.21
Sky_7,3359633563,104252134,3383872,2847380,1542466,96478416,0.176638,0.247587,0.123299,0.547525,0.163,3.1
Sky_8,3359629663,104680302,4714684,2105817,854326,97005475,0.246107,0.166952,0.123973,0.537032,0.16,3.12
Sky_9,3359637585,105459487,3181416,4010969,1681321,96585781,0.16607,0.321045,0.123437,0.610552,0.182,3.14
