node,prr_parent(last),prr_sender(last),prr_all_nei_avg,ul_sent,ul_recv,PDR_UL(%),dl_sent,dl_recv,PDR_DL(%),PDR_DL_CSV_last(%),UL_delay_samples,UL_delay_ticks_avg,UL_delay_ms_avg,DL_delay_samples,DL_delay_ticks_avg,DL_delay_ms_avg
01:00,,,72.89,0,0,,0,0,,,0,,,0,,
02:00,97.0,97.0,87.83,119,119,100.0,6,6,100.0,100.0,119,33.87,264.57,6,24.67,192.71
03:00,98.0,98.0,98.04,119,117,98.32,6,6,100.0,100.0,117,20.98,163.93,6,30.83,240.89
04:00,100.0,68.0,95.39,119,118,99.16,6,6,100.0,100.0,118,0.0,0.0,6,135.67,1059.9
05:00,100.0,81.0,83.57,119,119,100.0,6,6,100.0,100.0,119,0.35,2.76,6,43.33,338.54
06:00,100.0,67.0,92.48,119,119,100.0,6,6,100.0,100.0,119,0.24,1.9,6,52.33,408.85
07:00,100.0,79.0,86.74,119,119,100.0,5,5,100.0,100.0,119,0.0,0.0,5,101.2,790.62
08:00,97.0,96.0,96.28,119,118,99.16,5,5,100.0,100.0,118,11.07,86.47,5,38.6,301.56
09:00,100.0,77.0,92.82,119,119,100.0,5,5,100.0,100.0,119,0.0,0.0,5,102.2,798.44
10:00,100.0,67.0,93.23,119,119,100.0,5,5,100.0,100.0,119,0.0,0.0,5,114.4,893.75
11:00,100.0,73.0,84.31,119,119,100.0,5,5,100.0,100.0,119,0.0,0.0,5,112.0,875.0
12:00,100.0,65.0,95.56,119,119,100.0,5,5,100.0,100.0,119,26.43,206.47,5,13.4,104.69
13:00,96.0,96.0,96.5,119,119,100.0,5,5,100.0,100.0,119,0.24,1.9,5,59.2,462.5
14:00,96.0,81.0,88.66,119,118,99.16,5,5,100.0,100.0,118,0.0,0.0,5,112.6,879.69
15:00,98.0,98.0,98.63,119,118,99.16,5,5,100.0,100.0,118,1.55,12.12,5,78.8,615.62
