node,prr_parent(last),prr_sender(last),prr_all_nei_avg,ul_sent,ul_recv,PDR_UL(%),dl_sent,dl_recv,PDR_DL(%),PDR_DL_CSV_last(%),UL_delay_samples,UL_delay_ticks_avg,UL_delay_ms_avg,DL_delay_samples,DL_delay_ticks_avg,DL_delay_ms_avg
01:00,,,73.91,0,0,,0,0,,,0,,,0,,
02:00,95.0,85.0,87.95,119,119,100.0,6,6,100.0,100.0,119,135.28,1056.85,6,0.0,0.0
03:00,94.0,93.0,95.89,119,119,100.0,6,6,100.0,100.0,119,76.77,599.79,6,4.5,35.16
04:00,100.0,68.0,94.0,119,119,100.0,6,6,100.0,100.0,119,41.43,323.66,6,3.33,26.04
05:00,98.0,87.0,85.64,119,118,99.16,6,6,100.0,100.0,118,116.97,913.8,6,0.0,0.0
06:00,98.0,58.0,97.29,119,118,99.16,6,6,100.0,100.0,118,84.52,660.29,6,0.0,0.0
07:00,100.0,71.0,92.05,119,119,100.0,5,5,100.0,100.0,119,83.26,650.47,5,0.0,0.0
08:00,95.0,95.0,97.3,119,119,100.0,5,5,100.0,100.0,119,61.46,480.17,5,1.6,12.5
09:00,100.0,86.0,87.24,119,119,100.0,5,5,100.0,100.0,119,119.98,937.37,5,0.0,0.0
10:00,100.0,70.0,94.95,119,119,100.0,5,5,100.0,100.0,119,71.67,559.94,5,0.0,0.0
11:00,98.0,83.0,84.64,119,119,100.0,5,5,100.0,100.0,119,119.03,929.95,5,0.0,0.0
12:00,98.0,60.0,96.35,119,118,99.16,5,5,100.0,100.0,118,91.16,712.2,5,0.0,0.0
13:00,100.0,100.0,98.83,119,118,99.16,5,5,100.0,100.0,118,29.01,226.63,5,31.6,246.88
14:00,100.0,100.0,92.55,119,117,98.32,5,5,100.0,100.0,117,41.57,324.79,5,7.8,60.94
15:00,98.0,100.0,98.54,119,119,100.0,5,5,100.0,100.0,119,75.85,592.57,5,0.0,0.0
