node,prr_parent(last),prr_sender(last),prr_all_nei_avg,ul_sent,ul_recv,PDR_UL(%),dl_sent,dl_recv,PDR_DL(%),PDR_DL_CSV_last(%),UL_delay_samples,UL_delay_ticks_avg,UL_delay_ms_avg,DL_delay_samples,DL_delay_ticks_avg,DL_delay_ms_avg
01:00,,,74.51,0,0,,0,0,,,0,,,0,,
02:00,93.0,91.0,87.72,119,119,100.0,6,6,100.0,100.0,119,0.55,4.27,6,73.17,571.61
03:00,96.0,96.0,98.75,119,118,99.16,6,6,100.0,100.0,118,26.43,206.5,6,21.83,170.57
04:00,100.0,73.0,95.96,119,119,100.0,6,6,100.0,100.0,119,7.29,56.92,6,32.83,256.51
05:00,100.0,85.0,83.02,119,119,100.0,6,6,100.0,100.0,119,37.18,290.44,6,5.67,44.27
06:00,100.0,75.0,94.89,119,119,100.0,6,6,100.0,100.0,119,21.77,170.1,6,15.67,122.4
07:00,100.0,78.0,90.2,119,119,100.0,5,5,100.0,100.0,119,68.65,536.31,5,0.0,0.0
08:00,96.0,98.0,97.02,119,118,99.16,5,5,100.0,100.0,118,0.52,4.04,5,55.0,429.69
09:00,100.0,85.0,92.15,119,119,100.0,5,5,100.0,100.0,119,10.99,85.87,5,27.2,212.5
10:00,100.0,72.0,96.12,119,119,100.0,5,5,100.0,100.0,119,71.11,555.54,5,0.0,0.0
11:00,100.0,73.0,83.75,119,119,100.0,5,5,100.0,100.0,119,28.49,222.56,5,19.0,148.44
12:00,100.0,56.0,94.95,119,119,100.0,5,5,100.0,100.0,119,0.0,0.0,5,76.8,600.0
13:00,92.0,100.0,97.66,119,119,100.0,5,5,100.0,100.0,119,0.0,0.0,5,79.4,620.31
14:00,92.0,93.0,89.2,119,119,100.0,5,5,100.0,100.0,119,0.03,0.26,5,72.6,567.19
15:00,98.0,98.0,96.98,119,117,98.32,5,5,100.0,100.0,117,9.81,76.66,5,39.2,306.25
