mote,monitored_us,on_us,tx_us,rx_us,int_us,idle_us,E_tx(J),E_rx(J),E_idle(J),E_total(J),P_avg(mW),RDC(%)
Sky_1,3359677346,116321171,3019543,6315843,4056840,102928945,0.15762,0.585019,0.131543,0.874183,0.26,3.46
Sky_10,3359695393,108243421,5520844,3237270,1346000,98139307,0.288188,0.258496,0.125422,0.672107,0.2,3.22
Sky_11,3359677857,119011431,10389101,4381251,2372263,101868816,0.542311,0.380898,0.130188,1.053398,0.314,3.54
Sky_12,3359677599,107728120,4381316,3764108,1766238,97816458,0.228705,0.311912,0.125009,0.665626,0.198,3.21
Sky_13,3359673197,107358912,4740017,3610526,1340723,97667646,0.247429,0.27925,0.124819,0.651499,0.194,3.2
Sky_14,3359669377,108553365,4890178,3966172,1669889,98027126,0.255267,0.317874,0.125279,0.69842,0.208,3.23
Sky_15,3359670027,106664268,5054489,2771982,1233532,97604265,0.263844,0.225911,0.124738,0.614494,0.183,3.17
Sky_2,3359666360,107637758,4733193,3769610,1590110,97544845,0.247073,0.302288,0.124662,0.674023,0.201,3.2
Sky_3,3359676528,107028516,4868490,3188038,1208636,97763352,0.254135,0.247972,0.124942,0.627049,0.187,3.19
Sky_4,3359695055,106266222,4706111,2921270,1159373,97479468,0.245659,0.230148,0.124579,0.600386,0.179,3.16
Sky_5,3359688377,118015008,11183562,3395711,1712138,101723597,0.583782,0.288083,0.130003,1.001867,0.298,3.51
Sky_6,3359683338,106593405,4562525,2952333,1322423,97756124,0.238164,0.241096,0.124932,0.604192,0.18,3.17
Sky_7,3359674594,108152234,3135471,5584246,2395149,97037368,0.163672,0.450038,0.124014,0.737723,0.22,3.22
Sky_8,3359687207,105029571,4998499,2238997,702587,97089488,0.260922,0.165905,0.12408,0.550907,0.164,3.13
Sky_9,3359679835,105560456,2978240,3322954,2432140,96827122,0.155464,0.324587,0.123745,0.603796,0.18,3.14
