node,prr_parent(last),prr_sender(last),prr_all_nei_avg,ul_sent,ul_recv,PDR_UL(%),dl_sent,dl_recv,PDR_DL(%),PDR_DL_CSV_last(%),UL_delay_samples,UL_delay_ticks_avg,UL_delay_ms_avg,DL_delay_samples,DL_delay_ticks_avg,DL_delay_ms_avg
01:00,,,72.47,0,0,,0,0,,,0,,,0,,
02:00,98.0,91.0,89.43,119,118,99.16,6,6,100.0,100.0,118,34.46,269.2,6,20.5,160.16
03:00,96.0,100.0,98.44,119,117,98.32,6,6,100.0,100.0,117,70.69,552.28,6,8.67,67.71
04:00,100.0,69.0,94.22,119,119,100.0,6,6,100.0,100.0,119,133.76,1044.97,6,0.0,0.0
05:00,100.0,77.0,83.57,119,119,100.0,6,6,100.0,100.0,119,121.45,948.86,6,0.0,0.0
06:00,100.0,69.0,95.3,119,119,100.0,6,6,100.0,100.0,119,97.27,759.91,6,0.0,0.0
07:00,100.0,72.0,86.95,119,119,100.0,5,5,100.0,100.0,119,44.21,345.39,5,0.0,0.0
08:00,98.0,98.0,98.43,119,119,100.0,5,5,100.0,100.0,119,24.66,192.62,5,26.0,203.12
09:00,100.0,78.0,90.23,119,119,100.0,5,5,100.0,100.0,119,134.07,1047.4,5,0.0,0.0
10:00,100.0,100.0,96.05,119,119,100.0,5,5,100.0,100.0,119,47.2,368.76,5,0.0,0.0
11:00,98.0,82.0,84.71,119,119,100.0,5,5,100.0,100.0,119,147.52,1152.51,5,0.0,0.0
12:00,100.0,62.0,95.23,119,119,100.0,5,5,100.0,100.0,119,63.87,498.95,5,0.0,0.0
13:00,98.0,98.0,99.68,119,118,99.16,5,5,100.0,100.0,118,63.51,496.16,5,2.4,18.75
14:00,93.0,93.0,88.25,119,119,100.0,5,5,100.0,100.0,119,37.22,290.77,5,12.0,93.75
15:00,97.0,95.0,95.54,119,118,99.16,5,5,100.0,100.0,118,81.61,637.58,5,0.6,4.69
