mote,monitored_us,on_us,tx_us,rx_us,int_us,idle_us,E_tx(J),E_rx(J),E_idle(J),E_total(J),P_avg(mW),RDC(%)
Sky_1,3359668136,116390793,3027514,6110419,4249008,103003852,0.158036,0.584272,0.131639,0.873947,0.26,3.46
Sky_10,3359691200,107264533,5409565,2815475,1207248,97832245,0.282379,0.226882,0.12503,0.63429,0.189,3.19
Sky_11,3359666512,114323868,6870978,5140300,2538108,99774482,0.358665,0.433062,0.127512,0.919239,0.274,3.4
Sky_12,3359682809,113286569,9323429,2704188,1166370,100092582,0.486683,0.218299,0.127918,0.832901,0.248,3.37
Sky_13,3359677954,105304014,5227921,1879730,749516,97446847,0.272897,0.148289,0.124537,0.545724,0.162,3.13
Sky_14,3359684541,107363320,4494765,3382620,1775724,97710211,0.234627,0.290931,0.124874,0.650431,0.194,3.2
Sky_15,3359673908,105406309,4967929,1838725,862364,97737291,0.259326,0.152341,0.124908,0.536576,0.16,3.14
Sky_2,3359685562,108146513,4736974,3891593,1876136,97641810,0.24727,0.3253,0.124786,0.697356,0.208,3.22
Sky_3,3359688612,105780782,5146247,2146806,972536,97515193,0.268634,0.175931,0.124624,0.569189,0.169,3.15
Sky_4,3359684483,112246701,8492236,2899843,1221698,99632924,0.443295,0.232455,0.127331,0.803081,0.239,3.34
Sky_5,3359686030,112544914,6492473,4383105,2442883,99226453,0.338907,0.384986,0.126811,0.850704,0.253,3.35
Sky_6,3359687854,108119312,5810788,2640017,1341749,98326758,0.303323,0.224572,0.125662,0.653556,0.195,3.22
Sky_7,3359682701,104421010,3338752,3102537,1491718,96488003,0.174283,0.259116,0.123312,0.556711,0.166,3.11
Sky_8,3359663466,105808203,4577408,2965804,1021874,97243117,0.238941,0.224905,0.124277,0.588122,0.175,3.15
Sky_9,3359681861,104743187,3440732,3122411,1575568,96604476,0.179606,0.264966,0.123461,0.568033,0.169,3.12
