node,prr_parent(last),prr_sender(last),prr_all_nei_avg,ul_sent,ul_recv,ul_attempts,ul_sent_count,PDR_UL(%),PDR_UL_attempts(%),PDR_UL_sent(%),ul_received,dl_sent,dl_recv,dl_attempts,dl_sent_count,PDR_DL(%),PDR_DL_attempts(%),PDR_DL_sent(%),PDR_DL_CSV_last(%),dl_received,UL_delay_samples,UL_delay_ticks_avg,UL_delay_ms_avg,DL_delay_samples,DL_delay_ticks_avg,DL_delay_ms_avg
01:00,,,67.75,0,0,0,0,,,,0,0,0,0,0,,,,,0,0,,,0,,
02:00,89.0,89.0,92.01,119,113,119,119,94.96,94.96,94.96,1,3,3,3,3,100.0,100.0,100.0,100.0,1,113,27.1,211.7,3,139.0,1085.94
03:00,75.0,83.0,83.51,119,119,119,119,100.0,100.0,100.0,1,3,3,3,3,100.0,100.0,100.0,100.0,1,119,133.08,1039.65,3,79.33,619.79
04:00,85.0,85.0,87.47,119,113,119,119,94.96,94.96,94.96,1,3,3,3,3,100.0,100.0,100.0,100.0,1,113,148.3,1158.6,3,0.0,0.0
05:00,97.0,97.0,95.72,119,115,119,119,96.64,96.64,96.64,1,3,3,3,3,100.0,100.0,100.0,100.0,1,115,142.39,1112.43,3,4.67,36.46
06:00,97.0,94.0,95.42,119,112,119,119,94.12,94.12,94.12,1,3,3,3,3,100.0,100.0,100.0,100.0,1,112,74.38,581.12,3,31.0,242.19
07:00,91.0,91.0,85.55,119,117,119,119,98.32,98.32,98.32,1,3,3,3,3,100.0,100.0,100.0,100.0,1,117,47.0,367.19,3,88.0,687.5
08:00,83.0,84.0,80.23,119,114,119,119,95.8,95.8,95.8,1,3,3,3,3,100.0,100.0,100.0,100.0,1,114,79.88,624.04,3,29.67,231.77
09:00,85.0,85.0,83.36,119,118,119,119,99.16,99.16,99.16,1,3,3,3,3,100.0,100.0,100.0,100.0,1,118,109.87,858.38,3,14.67,114.58
10:00,94.0,96.0,92.62,119,116,119,119,97.48,97.48,97.48,1,3,3,3,3,100.0,100.0,100.0,100.0,1,116,75.92,593.14,3,16.33,127.6
11:00,99.0,87.0,89.56,119,109,119,119,91.6,91.6,91.6,1,3,3,3,3,100.0,100.0,100.0,100.0,1,109,82.04,640.91,3,13.33,104.17
12:00,94.0,86.0,84.52,119,111,119,119,93.28,93.28,93.28,1,3,3,3,3,100.0,100.0,100.0,100.0,1,111,81.42,636.12,3,7.33,57.29
13:00,97.0,70.0,81.2,119,116,119,119,97.48,97.48,97.48,1,3,3,3,3,100.0,100.0,100.0,100.0,1,116,143.07,1117.73,3,0.0,0.0
14:00,99.0,64.0,83.42,119,109,119,119,91.6,91.6,91.6,1,3,3,3,3,100.0,100.0,100.0,100.0,1,109,91.94,718.25,3,1.0,7.81
15:00,91.0,88.0,88.89,119,114,119,119,95.8,95.8,95.8,1,3,3,3,3,100.0,100.0,100.0,100.0,1,114,103.95,812.09,3,24.33,190.1
16:00,89.0,97.0,91.21,119,116,119,119,97.48,97.48,97.48,1,3,3,3,3,100.0,100.0,100.0,100.0,1,116,94.07,734.91,3,8.0,62.5
17:00,98.0,86.0,85.09,119,112,119,119,94.12,94.12,94.12,1,3,3,3,3,100.0,100.0,100.0,100.0,1,112,134.28,1049.04,3,0.0,0.0
18:00,96.0,96.0,97.47,119,115,119,119,96.64,96.64,96.64,1,3,3,3,3,100.0,100.0,100.0,100.0,1,115,45.3,353.94,3,77.67,606.77
19:00,100.0,70.0,83.65,119,112,119,119,94.12,94.12,94.12,1,2,2,2,2,100.0,100.0,100.0,100.0,1,112,45.38,354.49,2,33.0,257.81
20:00,88.0,88.0,89.33,119,117,119,119,98.32,98.32,98.32,1,2,2,2,2,100.0,100.0,100.0,100.0,1,117,44.87,350.56,2,197.0,1539.06
21:00,97.0,91.0,89.38,119,110,119,119,92.44,92.44,92.44,1,2,2,2,2,100.0,100.0,100.0,100.0,1,110,89.34,697.94,2,14.0,109.38
22:00,99.0,61.0,83.91,119,111,119,119,93.28,93.28,93.28,1,2,2,2,2,100.0,100.0,100.0,100.0,1,111,36.12,282.16,2,38.5,300.78
23:00,100.0,100.0,87.22,119,114,119,119,95.8,95.8,95.8,1,2,2,2,2,100.0,100.0,100.0,100.0,1,114,61.7,482.04,2,20.5,160.16
24:00,99.0,88.0,89.08,119,106,119,119,89.08,89.08,89.08,1,2,2,2,2,100.0,100.0,100.0,100.0,1,106,58.93,460.42,2,21.0,164.06
25:00,89.0,89.0,90.34,119,114,119,119,95.8,95.8,95.8,1,2,2,2,2,100.0,100.0,100.0,100.0,1,114,148.08,1156.87,2,0.0,0.0
26:00,98.0,98.0,98.51,119,114,119,119,95.8,95.8,95.8,1,2,2,2,2,100.0,100.0,100.0,100.0,1,114,108.02,843.89,2,3.5,27.34
27:00,98.0,90.0,87.99,119,111,119,119,93.28,93.28,93.28,1,2,2,2,2,100.0,100.0,100.0,100.0,1,111,136.22,1064.19,2,11.5,89.84
28:00,98.0,98.0,90.54,119,117,119,119,98.32,98.32,98.32,1,2,2,2,2,100.0,100.0,100.0,100.0,1,117,32.23,251.8,2,138.0,1078.12
29:00,92.0,92.0,92.35,119,111,119,119,93.28,93.28,93.28,1,2,2,2,2,100.0,100.0,100.0,100.0,1,111,125.77,982.62,2,0.0,0.0
30:00,99.0,99.0,99.3,119,115,119,119,96.64,96.64,96.64,1,2,2,2,2,100.0,100.0,100.0,100.0,1,115,54.66,427.04,2,28.5,222.66
