mote,monitored_us,on_us,tx_us,rx_us,int_us,idle_us,E_tx(J),E_rx(J),E_idle(J),E_total(J),P_avg(mW),RDC(%)
Sky_1,3359682963,188210795,4636857,24555672,20387504,138630762,0.242044,2.534795,0.17717,2.954009,0.879,5.6
Sky_10,3359693593,115271928,6030271,6341398,2722322,100177937,0.31478,0.511194,0.128027,0.954001,0.284,3.43
Sky_11,3359681940,116024794,7121925,5758508,2736417,100407944,0.371764,0.479114,0.128321,0.9792,0.291,3.45
Sky_12,3359681244,136833745,14226930,10678088,5814170,106114557,0.742646,0.930163,0.135614,1.808424,0.538,4.07
Sky_13,3359692683,135774884,14627245,9265641,5951001,105930997,0.763542,0.858219,0.13538,1.757141,0.523,4.04
Sky_14,3359699379,139281862,17272860,9310903,5069360,107628739,0.901643,0.811047,0.13755,1.85024,0.551,4.15
Sky_15,3359686317,118616152,7268221,5872140,3161495,102314296,0.379401,0.509497,0.130758,1.019656,0.303,3.53
Sky_16,3359682501,121656992,7364938,8050708,4436537,101804809,0.38445,0.704281,0.130107,1.218837,0.363,3.62
Sky_17,3359681773,131156607,9494010,11434683,6674220,103553694,0.495587,1.021342,0.132342,1.649271,0.491,3.9
Sky_18,3359682518,111922235,8016439,2867335,1391166,99647295,0.418458,0.240179,0.127349,0.785987,0.234,3.33
Sky_19,3359683992,131871792,10258058,10439356,7117016,104057362,0.535471,0.990179,0.132985,1.658635,0.494,3.93
Sky_2,3359697659,122464972,10950618,5944103,2920728,102649523,0.571622,0.499976,0.131186,1.202785,0.358,3.65
Sky_20,3359684040,121565768,7728910,7854531,4647416,101334911,0.403449,0.70511,0.129506,1.238065,0.369,3.62
Sky_21,3359695777,114786092,6806924,5579206,2452374,99947588,0.355321,0.452981,0.127733,0.936036,0.279,3.42
Sky_22,3359703919,143664736,22631639,7117771,3950708,109964618,1.181372,0.624262,0.140535,1.946169,0.579,4.28
Sky_23,3359686403,138472380,14982696,8662633,7118294,107708757,0.782097,0.890044,0.137652,1.809793,0.539,4.12
Sky_24,3359690454,142957458,22953191,6143988,3489536,110370743,1.198157,0.543331,0.141054,1.882541,0.56,4.26
Sky_25,3359706503,116061885,6404356,6721580,3024898,99911051,0.334307,0.549701,0.127686,1.011695,0.301,3.45
Sky_26,3359694725,108719628,5039657,4127228,1498131,98054612,0.26307,0.31727,0.125314,0.705654,0.21,3.24
Sky_27,3359689784,117032392,7462283,5998735,2495845,101075529,0.389531,0.479094,0.129175,0.9978,0.297,3.48
Sky_28,3359699145,120605511,7190880,8346899,4027397,101040335,0.375364,0.69791,0.12913,1.202404,0.358,3.59
Sky_29,3359700114,116376767,6557990,6782531,2709050,100327196,0.342327,0.535325,0.128218,1.00587,0.299,3.46
Sky_3,3359706653,115778437,5721629,6745637,3785100,99526071,0.298669,0.593934,0.127194,1.019797,0.304,3.45
Sky_30,3359706802,110866446,5255784,5101909,1988979,98519774,0.274352,0.399926,0.125908,0.800186,0.238,3.3
Sky_4,3359705230,117490035,7436205,6225744,3157734,100670352,0.38817,0.529228,0.128657,1.046055,0.311,3.5
Sky_5,3359691971,112785537,8018441,3620403,1304932,99841761,0.418563,0.277789,0.127598,0.823949,0.245,3.36
Sky_6,3359706623,113128121,5653253,5559393,2628053,99287422,0.2951,0.461772,0.126889,0.883761,0.263,3.37
Sky_7,3359686097,128650959,7610843,8891311,6174388,105974417,0.397286,0.849705,0.135435,1.382427,0.411,3.83
Sky_8,3359697612,154941860,27009918,9162304,5971552,112798086,1.409918,0.853549,0.144156,2.407623,0.717,4.61
Sky_9,3359680693,132886576,9812133,12191261,6330841,104552341,0.512193,1.044647,0.133618,1.690458,0.503,3.96
