mote,monitored_us,on_us,tx_us,rx_us,int_us,idle_us,E_tx(J),E_rx(J),E_idle(J),E_total(J),P_avg(mW),RDC(%)
Sky_1,3359685163,191534272,4709026,25786571,20591958,140446717,0.245811,2.615749,0.179491,3.041051,0.905,5.7
Sky_10,3359672003,114329176,6007541,6031517,2614395,99675723,0.313594,0.487629,0.127386,0.928609,0.276,3.4
Sky_11,3359687768,121244927,7622877,6519264,4029548,103073238,0.397914,0.594953,0.131728,1.124595,0.335,3.61
Sky_12,3359693084,139408688,18799016,7890505,4417494,108301673,0.981309,0.694171,0.13841,1.813889,0.54,4.15
Sky_13,3359688878,131633361,10134029,8567081,8293217,104639034,0.528996,0.950921,0.133729,1.613646,0.48,3.92
Sky_14,3359680636,141155408,18275047,9616374,5070770,108193217,0.953957,0.828355,0.138271,1.920583,0.572,4.2
Sky_15,3359677538,119031791,7236270,7214283,3294451,101286787,0.377733,0.592693,0.129445,1.09987,0.327,3.54
Sky_16,3359688243,124724494,7610416,7093282,5201316,104819480,0.397264,0.693415,0.133959,1.224638,0.365,3.71
Sky_17,3359700910,134188272,13684376,9735436,5550133,105218327,0.714324,0.862106,0.134469,1.7109,0.509,3.99
Sky_18,3359689167,113845830,8298184,3440310,1753432,100353904,0.433165,0.292927,0.128252,0.854345,0.254,3.39
Sky_19,3359673853,133211554,12336734,9894403,5675066,105305351,0.643978,0.878118,0.13458,1.656676,0.493,3.97
Sky_2,3359673503,117467452,7678580,6419769,2663258,100705845,0.400822,0.512283,0.128702,1.041807,0.31,3.5
Sky_20,3359681839,121524217,7496282,8379834,4330545,101317556,0.391306,0.716865,0.129484,1.237655,0.368,3.62
Sky_21,3359694016,116447291,7141081,6052399,2718322,100535489,0.372764,0.494669,0.128484,0.995917,0.296,3.47
Sky_22,3359678060,149782337,25599190,8121080,4056786,112005281,1.336278,0.686832,0.143143,2.166252,0.645,4.46
Sky_23,3359692463,132738249,14106186,7930072,5040244,105661747,0.736343,0.731526,0.135036,1.602904,0.477,3.95
Sky_24,3359685394,138334680,18380676,7799181,4257448,107897375,0.959471,0.679994,0.137893,1.777358,0.529,4.12
Sky_25,3359701245,116315363,7160262,6014359,2583137,100557605,0.373766,0.484899,0.128513,0.987177,0.294,3.46
Sky_26,3359695144,111367293,5866888,4612715,1712019,99175671,0.306252,0.356715,0.126747,0.789713,0.235,3.31
Sky_27,3359680724,121109744,7027830,8708665,3796275,101576974,0.366853,0.705279,0.129815,1.201947,0.358,3.6
Sky_28,3359697214,119701061,7543181,7054245,3836798,101266837,0.393754,0.614255,0.129419,1.137428,0.339,3.56
Sky_29,3359674160,116769675,6739114,6339243,3003848,100687470,0.351782,0.52695,0.128679,1.007411,0.3,3.48
Sky_3,3359699104,114775623,5350497,6532200,3619572,99273354,0.279296,0.57256,0.126871,0.978727,0.291,3.42
Sky_30,3359677182,110387419,5901168,4240710,1470065,98775476,0.308041,0.322088,0.126235,0.756364,0.225,3.29
Sky_4,3359697609,123495245,12396085,5416928,2410051,103272181,0.647076,0.441442,0.131982,1.220499,0.363,3.68
Sky_5,3359688318,113118754,8174816,3333406,1236226,100374306,0.426725,0.257727,0.128278,0.812731,0.242,3.37
Sky_6,3359694656,114434659,6301533,5696338,2526346,99910442,0.32894,0.463759,0.127686,0.920385,0.274,3.41
Sky_7,3359676212,129932042,9921722,10556958,5351008,104102354,0.517914,0.897209,0.133043,1.548166,0.461,3.87
Sky_8,3359688147,153789853,24143999,9665944,7336777,112643133,1.260317,0.958953,0.143958,2.363228,0.703,4.58
Sky_9,3359674763,128280305,7993036,11431962,5532903,103322404,0.417236,0.956818,0.132046,1.506101,0.448,3.82
