seed,Metric,WaCo,RPL,WaCo-RPL,Winner
13,DL Delay (ms),278.87,85.53,193.34,RPL
13,DL Coverage (%),100.0,55.17,44.83,WaCo
13,DL Route Coverage (%),100.0,100.0,0.0,Equal
13,PRR to Parent (%),96.03,17.54,78.49,WaCo
14,UL PDR (%),96.15,99.39,-3.24,RPL
14,UL Delay (ms),114.08,34.87,79.21,RPL
14,UL Coverage (%),100.0,100.0,0.0,Equal
14,DL PDR (%),98.85,55.75,43.1,WaCo
14,DL Delay (ms),739.99,380.14,359.85,RPL
14,DL Coverage (%),100.0,62.07,37.93,WaCo
14,DL Route Coverage (%),100.0,100.0,0.0,Equal
14,PRR to Parent (%),95.41,21.6,73.81,WaCo
15,UL PDR (%),96.29,99.88,-3.59,RPL
15,UL Delay (ms),246.33,103.18,143.15,RPL
15,UL Coverage (%),100.0,100.0,0.0,Equal
15,DL PDR (%),100.0,46.55,53.45,WaCo
15,DL Delay (ms),480.33,208.07,272.26,RPL
15,DL Coverage (%),100.0,51.72,48.28,WaCo
15,DL Route Coverage (%),100.0,100.0,0.0,Equal
15,PRR to Parent (%),94.83,18.47,76.36,WaCo
16,UL PDR (%),96.67,99.59,-2.92,RPL
16,UL Delay (ms),182.8,58.9,123.9,RPL
16,UL Coverage (%),100.0,100.0,0.0,Equal
16,DL PDR (%),100.0,57.47,42.53,WaCo
16,DL Delay (ms),564.16,218.17,345.99,RPL
16,DL Coverage (%),100.0,62.07,37.93,WaCo
16,DL Route Coverage (%),100.0,100.0,0.0,Equal
16,PRR to Parent (%),96.07,16.42,79.65,WaCo
17,UL PDR (%),96.41,99.62,-3.21,RPL
17,UL Delay (ms),228.24,116.96,111.28,RPL
17,UL Coverage (%),100.0,100.0,0.0,Equal
17,DL PDR (%),100.0,53.45,46.55,WaCo
17,DL Delay (ms),597.88,223.63,374.25,RPL
17,DL Coverage (%),100.0,55.17,44.83,WaCo
17,DL Route Coverage (%),100.0,100.0,0.0,Equal
17,PRR to Parent (%),95.28,11.6,83.68,WaCo
18,UL PDR (%),96.29,99.42,-3.13,RPL
18,UL Delay (ms),593.44,415.84,177.6,RPL
18,UL Coverage (%),100.0,100.0,0.0,Equal
18,DL PDR (%),100.0,48.85,51.15,WaCo
18,DL Delay (ms),183.64,56.51,127.13,RPL
18,DL Coverage (%),100.0,51.72,48.28,WaCo
18,DL Route Coverage (%),100.0,100.0,0.0,Equal
18,PRR to Parent (%),95.45,12.03,83.42,WaCo
19,UL PDR (%),96.21,99.62,-3.41,RPL
19,UL Delay (ms),684.68,485.2,199.48,RPL
19,UL Coverage (%),100.0,100.0,0.0,Equal
19,DL PDR (%),100.0,52.3,47.7,WaCo
19,DL Delay (ms),121.54,9.36,112.18,RPL
19,DL Coverage (%),100.0,55.17,44.83,WaCo
19,DL Route Coverage (%),100.0,100.0,0.0,Equal
19,PRR to Parent (%),94.45,12.1,82.35,WaCo
20,UL PDR (%),96.81,99.62,-2.81,RPL
20,UL Delay (ms),756.41,560.17,196.24,RPL
20,UL Coverage (%),100.0,100.0,0.0,Equal
20,DL PDR (%),100.0,52.3,47.7,WaCo
20,DL Delay (ms),83.11,13.02,70.09,RPL
20,DL Coverage (%),100.0,65.52,34.48,WaCo
20,DL Route Coverage (%),100.0,100.0,0.0,Equal
20,PRR to Parent (%),96.31,35.64,60.67,WaCo
