seed,prr_parent(last)_avg,prr_sender(last)_avg,prr_all_nei_avg_avg,PDR_UL(%)_avg,PDR_UL_attempts(%)_avg,PDR_UL_sent(%)_avg,PDR_UL_per_node_avg(%),UL_Route_Coverage(%),UL_Coverage(%),PDR_DL(%)_avg,PDR_DL_attempts(%)_avg,PDR_DL_sent(%)_avg,PDR_DL_per_node_avg(%),DL_Route_Coverage(%),DL_Coverage(%),UL_delay_ticks_avg,UL_delay_ms_avg,UL_delay_per_node_avg(ms),DL_delay_ticks_avg,DL_delay_ms_avg,DL_delay_per_node_avg(ms)
10,39.14,99.74,92.0,99.74,99.74,99.74,99.74,100.0,100.0,46.55,46.55,46.55,46.55,100.0,58.62,15.69,122.6,122.6,32.28,252.22,252.22
11,17.54,99.85,89.82,99.83,99.83,99.83,99.83,100.0,100.0,51.15,51.15,51.15,51.15,100.0,55.17,42.76,334.04,334.04,4.5,35.16,35.16
12,26.79,99.62,90.18,99.59,99.59,99.59,99.59,100.0,100.0,54.02,54.02,54.02,54.02,100.0,62.07,29.34,229.2,229.2,14.9,116.39,116.39
13,17.54,99.68,90.02,99.68,99.68,99.68,99.68,100.0,100.0,50.57,50.57,50.57,50.57,100.0,55.17,27.13,211.95,211.95,10.95,85.53,85.53
14,21.6,99.44,89.39,99.39,99.39,99.39,99.39,100.0,100.0,55.75,55.75,55.75,55.75,100.0,62.07,4.46,34.87,34.87,48.66,380.14,380.14
15,18.47,99.88,92.08,99.88,99.88,99.88,99.88,100.0,100.0,46.55,46.55,46.55,46.55,100.0,51.72,13.21,103.18,103.18,26.63,208.07,208.07
16,16.42,99.59,88.97,99.59,99.59,99.59,99.59,100.0,100.0,57.47,57.47,57.47,57.47,100.0,62.07,7.54,58.9,58.9,27.93,218.17,218.17
17,11.6,99.68,89.23,99.62,99.62,99.62,99.62,100.0,100.0,53.45,53.45,53.45,53.45,100.0,55.17,14.97,116.96,116.96,28.62,223.63,223.63
18,12.03,99.41,91.02,99.42,99.42,99.42,99.42,100.0,100.0,48.85,48.85,48.85,48.85,100.0,51.72,53.23,415.84,415.84,7.23,56.51,56.51
19,12.1,99.62,90.36,99.62,99.62,99.62,99.62,100.0,100.0,52.3,52.3,52.3,52.3,100.0,55.17,62.11,485.2,485.2,1.2,9.36,9.36
1,12.46,99.62,90.69,99.62,99.62,99.62,99.62,100.0,100.0,50.0,50.0,50.0,50.0,100.0,51.72,17.87,139.57,139.57,31.92,249.39,249.39
20,35.64,99.62,91.33,99.62,99.62,99.62,99.62,100.0,100.0,52.3,52.3,52.3,52.3,100.0,65.52,71.7,560.17,560.17,1.67,13.02,13.02
2,18.58,99.79,90.97,99.8,99.8,99.8,99.8,100.0,100.0,48.28,48.28,48.28,48.28,100.0,51.72,61.04,476.9,476.9,1.67,13.02,13.02
3,12.25,99.68,90.34,99.65,99.65,99.65,99.65,100.0,100.0,49.43,49.43,49.43,49.43,100.0,51.72,1.16,9.08,9.08,61.13,477.6,477.6
4,11.7,99.71,89.19,99.71,99.71,99.71,99.71,100.0,100.0,53.45,53.45,53.45,53.45,100.0,55.17,1.73,13.54,13.54,65.93,515.06,515.06
5,15.9,99.82,88.64,99.8,99.8,99.8,99.8,100.0,100.0,61.49,61.49,61.49,61.49,100.0,65.52,5.83,45.52,45.52,46.96,366.91,366.91
6,11.5,99.82,88.94,99.83,99.83,99.83,99.83,100.0,100.0,56.32,56.32,56.32,56.32,100.0,58.62,33.32,260.35,260.35,9.56,74.68,74.68
7,12.36,99.56,90.44,99.57,99.57,99.57,99.57,100.0,100.0,49.43,49.43,49.43,49.43,100.0,51.72,61.16,477.81,477.81,1.4,10.94,10.94
8,12.15,99.62,89.9,99.62,99.62,99.62,99.62,100.0,100.0,49.43,49.43,49.43,49.43,100.0,51.72,57.6,450.02,450.02,2.94,23.0,23.0
9,22.48,99.65,90.2,99.65,99.65,99.65,99.65,100.0,100.0,52.87,52.87,52.87,52.87,100.0,58.62,76.2,595.33,595.33,0.39,3.06,3.06
AVG,17.9125,99.67,90.18550000000002,99.6615,99.6615,99.6615,99.6615,100.0,100.0,51.98299999999999,51.98299999999999,51.98299999999999,51.98299999999999,100.0,56.54999999999999,32.9025,257.0514999999999,257.0514999999999,21.323499999999996,166.593,166.593
