mote,monitored_us,on_us,tx_us,rx_us,int_us,idle_us,E_tx(J),E_rx(J),E_idle(J),E_total(J),P_avg(mW),RDC(%)
Sky_1,3359688425,148640905,3190273,21999960,14276297,109174375,0.166532,2.045981,0.139525,2.352038,0.7,4.42
Sky_10,3359675661,114384402,5165485,7861759,4209990,97147168,0.269638,0.680847,0.124154,1.074639,0.32,3.4
Sky_11,3359691426,119621129,5585024,8880373,6209552,98946180,0.291538,0.851072,0.126453,1.269063,0.378,3.56
Sky_12,3359696712,119422167,5187879,9561171,6008997,98664120,0.270807,0.878157,0.126093,1.275058,0.38,3.55
Sky_13,3359692536,128803920,4614480,12018125,10937219,101234096,0.240876,1.294681,0.129377,1.664934,0.496,3.83
Sky_14,3359684294,127976473,5235445,13829486,9541116,99370426,0.27329,1.318102,0.126995,1.718388,0.511,3.81
Sky_15,3359681196,118629436,5727651,8968446,5289161,98644178,0.298983,0.804129,0.126067,1.22918,0.366,3.53
Sky_16,3359692122,119241429,5273475,7663889,7524824,98779241,0.275275,0.856643,0.12624,1.258159,0.374,3.55
Sky_17,3359673539,122703708,4762672,11774833,7430798,98735405,0.248611,1.083198,0.126184,1.457993,0.434,3.65
Sky_18,3359693046,113848343,5049816,4546402,4761807,99490318,0.2636,0.524983,0.127149,0.915732,0.273,3.39
Sky_19,3359677732,124493976,4935208,13294858,7488238,98775672,0.257618,1.172167,0.126235,1.55602,0.463,3.71
Sky_2,3359676796,117568595,4971463,9689983,5529088,97378061,0.25951,0.858356,0.124449,1.242315,0.37,3.5
Sky_20,3359685718,120147704,6206675,9957717,5687088,98296224,0.323988,0.882367,0.125623,1.331978,0.396,3.58
Sky_21,3359697895,112470428,6271769,5413729,3102307,97682623,0.327386,0.480304,0.124838,0.932529,0.278,3.35
Sky_22,3359681939,120867712,5321489,10419770,6755023,98371430,0.277782,0.968658,0.125719,1.372159,0.408,3.6
Sky_23,3359696342,119440386,4843014,8931420,6006090,99659862,0.252805,0.842476,0.127365,1.222646,0.364,3.56
Sky_24,3359689273,122188122,4682326,11052360,7482148,98971288,0.244417,1.045346,0.126485,1.416249,0.422,3.64
Sky_25,3359674309,114549963,5699992,7072661,4175503,97601807,0.29754,0.634396,0.124735,1.056671,0.315,3.41
Sky_26,3359698587,108174060,5343282,4118882,2116798,96595098,0.278919,0.351692,0.123449,0.75406,0.224,3.22
Sky_27,3359684603,116498496,5947051,8070879,4667045,97813521,0.310436,0.718419,0.125006,1.153861,0.343,3.47
Sky_28,3359669873,120800135,9009292,7684754,4269429,99836660,0.470285,0.674216,0.127591,1.272092,0.379,3.6
Sky_29,3359678069,119822411,9396276,7327127,4052357,99046651,0.490486,0.641803,0.126582,1.25887,0.375,3.57
Sky_3,3359671146,116154373,4727717,8811945,4716739,97897972,0.246787,0.763018,0.125114,1.134918,0.338,3.46
Sky_30,3359681092,111115190,4744642,6487667,3406713,96476168,0.24767,0.558043,0.123297,0.92901,0.277,3.31
Sky_4,3359669621,113830347,4695844,7322426,4382210,97429867,0.245123,0.660141,0.124515,1.02978,0.307,3.39
Sky_5,3359691611,110811039,4510715,4483675,3607900,98208749,0.235459,0.456365,0.125511,0.817335,0.243,3.3
Sky_6,3359697918,111336830,4621752,6242892,3365107,97107079,0.241255,0.541891,0.124103,0.907249,0.27,3.31
Sky_7,3359679474,143201777,19882056,11057709,5620189,106641823,1.037843,0.940633,0.136288,2.114765,0.629,4.26
Sky_8,3359691409,126751350,5320924,12014600,8377228,101038598,0.277752,1.150099,0.129127,1.556979,0.463,3.77
Sky_9,3359678055,130372847,10532235,11678532,6591617,101570463,0.549783,1.030436,0.129807,1.710026,0.509,3.88
