node,prr_parent(last),prr_sender(last),prr_all_nei_avg,ul_sent,ul_recv,PDR_UL(%),dl_sent,dl_recv,PDR_DL(%),PDR_DL_CSV_last(%),UL_delay_samples,UL_delay_ticks_avg,UL_delay_ms_avg,DL_delay_samples,DL_delay_ticks_avg,DL_delay_ms_avg
02:00,5.08,97.45,71.13,119,116,97.48,3,3,100.0,5.08,116,18.17,141.97,3,19.33,151.04
03:00,,100.0,100.0,119,119,100.0,3,0,0.0,,119,11.43,89.29,0,,
04:00,,100.0,100.0,119,119,100.0,3,0,0.0,,119,0.0,0.0,0,,
05:00,,100.0,100.0,119,119,100.0,3,0,0.0,,119,1.34,10.44,0,,
06:00,,99.15,98.95,119,118,99.16,3,0,0.0,,118,0.74,5.76,0,,
07:00,5.08,100.0,74.86,119,119,100.0,3,3,100.0,5.08,119,0.24,1.9,3,91.67,716.15
08:00,,100.0,100.0,119,119,100.0,3,0,0.0,,119,1.19,9.32,0,,
09:00,5.08,100.0,75.82,119,119,100.0,3,3,100.0,5.08,119,0.03,0.26,3,87.67,684.9
10:00,,100.0,100.0,119,119,100.0,3,0,0.0,,119,0.55,4.27,0,,
11:00,5.08,100.0,76.81,119,119,100.0,3,3,100.0,5.08,119,0.0,0.0,3,95.67,747.4
12:00,5.08,100.0,77.15,119,119,100.0,3,3,100.0,5.08,119,9.81,76.62,3,7.67,59.9
13:00,5.08,99.15,78.19,119,118,99.16,3,3,100.0,5.08,118,0.38,2.98,3,53.67,419.27
14:00,,100.0,100.0,119,119,100.0,3,0,0.0,,119,0.0,0.0,0,,
15:00,5.08,100.0,78.89,119,119,100.0,3,3,100.0,5.08,119,0.0,0.0,3,55.67,434.9
16:00,5.08,99.15,78.07,119,118,99.16,3,3,100.0,5.08,118,0.0,0.0,3,111.0,867.19
17:00,,100.0,100.0,119,119,100.0,3,0,0.0,,119,0.66,5.12,0,,
18:00,6.66,100.0,80.33,119,119,100.0,2,2,100.0,6.66,119,2.2,17.2,2,29.0,226.56
19:00,6.66,100.0,81.15,119,119,100.0,2,2,100.0,6.66,119,0.11,0.85,2,66.5,519.53
20:00,6.66,100.0,81.42,119,119,100.0,2,2,100.0,6.66,119,1.33,10.37,2,23.5,183.59
21:00,6.66,99.15,81.04,119,118,99.16,2,2,100.0,6.66,118,0.0,0.0,2,89.0,695.31
22:00,,100.0,100.0,119,119,100.0,2,0,0.0,,119,0.39,3.09,0,,
23:00,6.66,100.0,83.33,119,119,100.0,2,2,100.0,6.66,119,0.69,5.38,2,98.0,765.62
24:00,6.66,99.15,83.75,119,118,99.16,2,2,100.0,6.66,118,0.0,0.0,2,63.0,492.19
25:00,,99.15,99.73,119,118,99.16,2,0,0.0,,118,0.0,0.0,0,,
26:00,,100.0,100.0,119,119,100.0,2,0,0.0,,119,0.0,0.0,0,,
27:00,100.0,100.0,100.0,119,119,100.0,2,1,50.0,100.0,119,0.0,0.0,1,70.0,546.88
28:00,6.66,99.15,85.98,119,118,99.16,2,2,100.0,6.66,118,0.0,0.0,2,93.5,730.47
29:00,,100.0,100.0,119,119,100.0,2,0,0.0,,119,0.26,2.04,0,,
30:00,,100.0,100.0,119,119,100.0,2,0,0.0,,119,0.75,5.84,0,,
