mote,monitored_us,on_us,tx_us,rx_us,int_us,idle_us,E_tx(J),E_rx(J),E_idle(J),E_total(J),P_avg(mW),RDC(%)
Sky_1,3359699900,140069332,2597489,19116747,12593134,105761962,0.135589,1.788437,0.135164,2.05919,0.613,4.17
Sky_10,3359692127,115061856,4936651,8488537,4311841,97324827,0.257693,0.721941,0.124381,1.104016,0.329,3.42
Sky_11,3359700225,117310815,5260177,9357615,5071929,97621094,0.274581,0.813826,0.12476,1.213167,0.361,3.49
Sky_12,3359678804,127112510,4135076,14998642,8845935,99132857,0.215851,1.344834,0.126692,1.687377,0.502,3.78
Sky_13,3359683524,128589656,9799096,10454650,6673992,101661918,0.511513,0.966055,0.129924,1.607492,0.478,3.83
Sky_14,3359700606,134661842,12241738,12328919,6420535,103670650,0.639019,1.057469,0.132491,1.828979,0.544,4.01
Sky_15,3359700717,116716234,4979047,8802003,5121304,97813880,0.259906,0.785275,0.125006,1.170187,0.348,3.47
Sky_16,3359700751,117766632,4971715,9548781,5670892,97575244,0.259524,0.85839,0.124701,1.242614,0.37,3.51
Sky_17,3359677709,125647438,4204718,11090288,9577312,100775120,0.219486,1.165653,0.128791,1.51393,0.451,3.74
Sky_18,3359688593,108043217,4571150,3853926,2506726,97111415,0.238614,0.358741,0.124108,0.721463,0.215,3.22
Sky_19,3359700580,126152631,4064754,14485741,8547079,99055057,0.21218,1.299051,0.126592,1.637824,0.487,3.75
Sky_2,3359680428,115376267,4746836,8134567,4954380,97540484,0.247785,0.738217,0.124657,1.110658,0.331,3.43
Sky_20,3359699900,117370245,4701394,7069509,7200578,98398764,0.245413,0.804833,0.125754,1.175999,0.35,3.49
Sky_21,3359676620,113431494,5217893,6003835,4450501,97759265,0.272374,0.589625,0.124936,0.986935,0.294,3.38
Sky_22,3359691318,116475416,4464428,8734540,5131411,98145037,0.233043,0.78204,0.125429,1.140512,0.339,3.47
Sky_23,3359699900,128022711,9688758,10693965,6363522,101276466,0.505753,0.962042,0.129431,1.597227,0.475,3.81
Sky_24,3359699900,124640700,5073208,11895971,7798854,99872667,0.264821,1.110788,0.127637,1.503247,0.447,3.71
Sky_25,3359701082,114607804,4918785,6556249,5374071,97758699,0.256761,0.67287,0.124936,1.054566,0.314,3.41
Sky_26,3359697006,109771629,4622978,5497337,3125580,96525734,0.241319,0.486333,0.12336,0.851012,0.253,3.27
Sky_27,3359696332,113945611,5972189,6671573,3608967,97692882,0.311748,0.579822,0.124852,1.016422,0.303,3.39
Sky_28,3359699900,114803938,4894270,6450270,4905553,98553845,0.255481,0.640468,0.125952,1.021901,0.304,3.42
Sky_29,3359699900,111280492,5440720,5625920,2987045,97226807,0.284006,0.485771,0.124256,0.894033,0.266,3.31
Sky_3,3359701062,118566305,3913358,11149512,5928984,97574451,0.204277,0.963227,0.1247,1.292205,0.385,3.53
Sky_30,3359699900,110818896,4890005,3425090,3552550,98951251,0.255258,0.393539,0.12646,0.775257,0.231,3.3
Sky_4,3359684225,112273559,4952338,6609494,3426566,97285161,0.258512,0.566034,0.12433,0.948876,0.282,3.34
Sky_5,3359682903,108259157,4883733,4457712,2345611,96572101,0.254931,0.383707,0.123419,0.762057,0.227,3.22
Sky_6,3359686613,110895439,4713701,5950981,3213033,97017724,0.246055,0.51685,0.123989,0.886894,0.264,3.3
Sky_7,3359678804,123850230,5382201,12469945,7120323,98877761,0.280951,1.104891,0.126366,1.512208,0.45,3.69
Sky_8,3359700873,130047624,8560365,13019712,7355770,101111777,0.446851,1.149177,0.129221,1.725249,0.514,3.87
Sky_9,3359679691,119463475,5958743,7827341,6406797,99270594,0.311046,0.802805,0.126868,1.24072,0.369,3.56
